,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,35.244640,0.000000,0.000000
C1-2,32.318196,0.000000,0.000000
C1-3,24.910306,0.000000,0.000000
C1-4,16.663840,0.000000,0.000000
C1-5,17.289630,0.000000,0.000000
C1-6,17.124270,0.000000,0.000000
C1-7,17.809804,0.000000,0.000000
C1-8,17.470654,0.000000,0.000000
C1-9,21.217456,0.000000,0.000000
C1-10,27.352598,0.000000,0.000000
C1-11,29.929187,0.000000,0.000000
C1-12,28.603674,0.000000,0.000000
C1-13,21.889427,0.000000,0.000000
C1-14,1.067767,0.000000,0.000000
C1-15,-3.093372,0.000000,0.000000
C1-16,22.533875,0.000000,0.000000
C1-17,17.906359,0.000000,0.000000
C1-18,15.603487,0.000000,0.000000
C1-19,17.013123,0.000000,0.000000
C1-20,41.567137,0.000000,0.000000
C1-21,52.896044,0.000000,0.000000
C1-22,52.156229,0.000000,0.000000
C1-23,72.119482,0.000000,0.000000
C1-24,65.021961,0.000000,0.000000
C2-1,-91.207329,0.000000,0.000000
C2-2,-83.651327,0.000000,0.000000
C2-3,-67.780985,0.000000,0.000000
C2-4,-50.266022,0.000000,0.000000
C2-5,-51.601816,0.000000,0.000000
C2-6,-52.745704,0.000000,0.000000
C2-7,-55.064672,0.000000,0.000000
C2-8,-55.389886,0.000000,0.000000
C2-9,-64.479198,0.000000,0.000000
C2-10,-77.522251,0.000000,0.000000
C2-11,-83.601740,0.000000,0.000000
C2-12,-79.507592,0.000000,0.000000
C2-13,-63.606994,0.000000,0.000000
C2-14,-79.758751,0.000000,0.000000
C2-15,-64.602434,0.000000,0.000000
C2-16,-66.163256,0.000000,0.000000
C2-17,-56.718922,0.000000,0.000000
C2-18,-54.321268,0.000000,0.000000
C2-19,-52.561728,0.000000,0.000000
C2-20,-104.186840,0.000000,0.000000
C2-21,-130.427788,0.000000,0.000000
C2-22,-129.288449,0.000000,0.000000
C2-23,-112.154118,0.000000,0.000000
C2-24,-114.442131,0.000000,0.000000
C3-1,9.820962,0.000000,0.000000
C3-2,7.138889,0.000000,0.000000
C3-3,-0.383987,0.000000,0.000000
C3-4,-8.883740,0.000000,0.000000
C3-5,-8.173736,0.000000,0.000000
C3-6,-7.616149,0.000000,0.000000
C3-7,-7.468954,0.000000,0.000000
C3-8,-8.034581,0.000000,0.000000
C3-9,-6.672456,0.000000,0.000000
C3-10,-4.018262,0.000000,0.000000
C3-11,-3.487839,0.000000,0.000000
C3-12,-6.222308,0.000000,0.000000
C3-13,-14.469082,0.000000,0.000000
C3-14,-26.026511,0.000000,0.000000
C3-15,-35.706282,0.000000,0.000000
C3-16,-8.884380,0.000000,0.000000
C3-17,-14.521193,0.000000,0.000000
C3-18,-21.039258,0.000000,0.000000
C3-19,-26.412167,0.000000,0.000000
C3-20,2.316001,0.000000,0.000000
C3-21,18.987612,0.000000,0.000000
C3-22,21.253068,0.000000,0.000000
C3-23,37.828372,0.000000,0.000000
C3-24,35.545131,0.000000,0.000000
C4-1,-14.421125,0.000000,0.000000
C4-2,-13.780421,0.000000,0.000000
C4-3,-15.539831,0.000000,0.000000
C4-4,-17.682474,0.000000,0.000000
C4-5,-17.507551,0.000000,0.000000
C4-6,-18.794778,0.000000,0.000000
C4-7,-19.618220,0.000000,0.000000
C4-8,-20.786269,0.000000,0.000000
C4-9,-21.636864,0.000000,0.000000
C4-10,-21.116445,0.000000,0.000000
C4-11,-21.652497,0.000000,0.000000
C4-12,-21.148298,0.000000,0.000000
C4-13,-21.680683,0.000000,0.000000
C4-14,-34.321988,0.000000,0.000000
C4-15,-30.814392,0.000000,0.000000
C4-16,-21.245272,0.000000,0.000000
C4-17,-23.072371,0.000000,0.000000
C4-18,-27.296160,0.000000,0.000000
C4-19,-24.279008,0.000000,0.000000
C4-20,-16.397940,0.000000,0.000000
C4-21,-14.129854,0.000000,0.000000
C4-22,-13.866420,0.000000,0.000000
C4-23,-0.558493,0.000000,0.000000
C4-24,-3.245879,0.000000,0.000000
C5-1,8.223657,0.000000,0.000000
C5-2,6.405640,0.000000,0.000000
C5-3,1.601038,0.000000,0.000000
C5-4,-3.812339,0.000000,0.000000
C5-5,-3.361471,0.000000,0.000000
C5-6,-2.914707,0.000000,0.000000
C5-7,-2.740593,0.000000,0.000000
C5-8,-3.016408,0.000000,0.000000
C5-9,-1.993988,0.000000,0.000000
C5-10,-0.199732,0.000000,0.000000
C5-11,0.243184,0.000000,0.000000
C5-12,-1.555842,0.000000,0.000000
C5-13,-6.893825,0.000000,0.000000
C5-14,-13.754661,0.000000,0.000000
C5-15,-20.241967,0.000000,0.000000
C5-16,-3.385990,0.000000,0.000000
C5-17,-6.922883,0.000000,0.000000
C5-18,-10.771027,0.000000,0.000000
C5-19,-14.357821,0.000000,0.000000
C5-20,3.803420,0.000000,0.000000
C5-21,14.444595,0.000000,0.000000
C5-22,15.834892,0.000000,0.000000
C5-23,25.789016,0.000000,0.000000
C5-24,24.370813,0.000000,0.000000
C6-1,110.242574,0.000000,0.000000
C6-2,98.910576,0.000000,0.000000
C6-3,67.046519,0.000000,0.000000
C6-4,31.321493,0.000000,0.000000
C6-5,34.103179,0.000000,0.000000
C6-6,33.163122,0.000000,0.000000
C6-7,34.867124,0.000000,0.000000
C6-8,32.399935,0.000000,0.000000
C6-9,44.922400,0.000000,0.000000
C6-10,67.233964,0.000000,0.000000
C6-11,75.496149,0.000000,0.000000
C6-12,69.080034,0.000000,0.000000
C6-13,39.625806,0.000000,0.000000
C6-14,42.155779,0.000000,0.000000
C6-15,22.388980,0.000000,0.000000
C6-16,47.278753,0.000000,0.000000
C6-17,25.950755,0.000000,0.000000
C6-18,9.383034,0.000000,0.000000
C6-19,10.966209,0.000000,0.000000
C6-20,121.682704,0.000000,0.000000
C6-21,175.000000,0.000000,57.218865
C6-22,175.000000,0.000000,57.218865
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,36.682861
C7-1,-33.152782,0.000000,0.000000
C7-2,-42.773691,0.000000,0.000000
C7-3,-94.390765,0.000000,0.000000
C7-4,-148.064053,0.000000,0.000000
C7-5,-145.183587,0.000000,0.000000
C7-6,-150.254798,0.000000,0.000000
C7-7,-150.771499,0.000000,0.000000
C7-8,-145.887841,0.000000,0.000000
C7-9,-165.075261,0.000000,0.000000
C7-10,-162.961074,0.000000,0.000000
C7-11,-175.565209,0.000000,0.000000
C7-12,-150.331336,0.000000,0.000000
C7-13,-151.385549,0.000000,0.000000
C7-14,-178.727021,0.000000,0.000000
C7-15,-123.011560,0.000000,0.000000
C7-16,-103.656612,0.000000,0.000000
C7-17,-139.524064,0.000000,0.000000
C7-18,-163.299367,0.000000,0.000000
C7-19,-115.324132,0.000000,0.000000
C7-20,-11.417379,0.000000,0.000000
C7-21,47.448022,0.000000,0.000000
C7-22,32.860821,0.000000,0.000000
C7-23,5.648659,0.000000,0.000000
C7-24,6.793995,0.000000,0.000000
C8-1,-46.036753,0.000000,0.000000
C8-2,-44.061661,0.000000,0.000000
C8-3,-45.177287,0.000000,0.000000
C8-4,-46.793198,0.000000,0.000000
C8-5,-46.618276,0.000000,0.000000
C8-6,-48.420529,0.000000,0.000000
C8-7,-50.262320,0.000000,0.000000
C8-8,-52.273140,0.000000,0.000000
C8-9,-55.851036,0.000000,0.000000
C8-10,-58.245202,0.000000,0.000000
C8-11,-60.817951,0.000000,0.000000
C8-12,-60.290341,0.000000,0.000000
C8-13,-60.178943,0.000000,0.000000
C8-14,-71.813605,0.000000,0.000000
C8-15,-67.404711,0.000000,0.000000
C8-16,-57.226924,0.000000,0.000000
C8-17,-59.615870,0.000000,0.000000
C8-18,-68.240797,0.000000,0.000000
C8-19,-66.733611,0.000000,0.000000
C8-20,-57.717143,0.000000,0.000000
C8-21,-54.243426,0.000000,0.000000
C8-22,-52.153987,0.000000,0.000000
C8-23,-36.329452,0.000000,0.000000
C8-24,-36.734332,0.000000,0.000000
C9-1,-20.512951,0.000000,0.000000
C9-2,-21.914733,0.000000,0.000000
C9-3,-28.819925,0.000000,0.000000
C9-4,-36.814299,0.000000,0.000000
C9-5,-36.104296,0.000000,0.000000
C9-6,-36.040856,0.000000,0.000000
C9-7,-36.870726,0.000000,0.000000
C9-8,-38.244957,0.000000,0.000000
C9-9,-39.499568,0.000000,0.000000
C9-10,-39.641799,0.000000,0.000000
C9-11,-41.065505,0.000000,0.000000
C9-12,-43.777512,0.000000,0.000000
C9-13,-51.406602,0.000000,0.000000
C9-14,-61.998197,0.000000,0.000000
C9-15,-70.813210,0.000000,0.000000
C9-16,-43.407316,0.000000,0.000000
C9-17,-49.583198,0.000000,0.000000
C9-18,-60.323978,0.000000,0.000000
C9-19,-67.145638,0.000000,0.000000
C9-20,-37.328099,0.000000,0.000000
C9-21,-19.499734,0.000000,0.000000
C9-22,-15.482301,0.000000,0.000000
C9-23,3.507587,0.000000,0.000000
C9-24,3.414318,0.000000,0.000000
C10-1,-49.880740,0.000000,0.000000
C10-2,-49.246369,0.000000,0.000000
C10-3,-52.867801,0.000000,0.000000
C10-4,-57.313130,0.000000,0.000000
C10-5,-56.862262,0.000000,0.000000
C10-6,-57.362034,0.000000,0.000000
C10-7,-59.059480,0.000000,0.000000
C10-8,-60.884171,0.000000,0.000000
C10-9,-64.874089,0.000000,0.000000
C10-10,-68.436366,0.000000,0.000000
C10-11,-71.736569,0.000000,0.000000
C10-12,-73.492571,0.000000,0.000000
C10-13,-77.647384,0.000000,0.000000
C10-14,-82.658173,0.000000,0.000000
C10-15,-87.489041,0.000000,0.000000
C10-16,-69.514431,0.000000,0.000000
C10-17,-74.083908,0.000000,0.000000
C10-18,-86.020632,0.000000,0.000000
C10-19,-92.382497,0.000000,0.000000
C10-20,-72.134575,0.000000,0.000000
C10-21,-59.277645,0.000000,0.000000
C10-22,-54.531447,0.000000,0.000000
C10-23,-39.952205,0.000000,0.000000
C10-24,-37.175533,0.000000,0.000000
C11-1,-53.404777,0.000000,0.000000
C11-2,-51.150743,0.000000,0.000000
C11-3,-50.063271,0.000000,0.000000
C11-4,-49.173521,0.000000,0.000000
C11-5,-49.173521,0.000000,0.000000
C11-6,-50.043499,0.000000,0.000000
C11-7,-51.763682,0.000000,0.000000
C11-8,-53.187283,0.000000,0.000000
C11-9,-57.794211,0.000000,0.000000
C11-10,-62.717494,0.000000,0.000000
C11-11,-66.157861,0.000000,0.000000
C11-12,-66.118317,0.000000,0.000000
C11-13,-65.030845,0.000000,0.000000
C11-14,-63.330433,0.000000,0.000000
C11-15,-61.807972,0.000000,0.000000
C11-16,-60.779817,0.000000,0.000000
C11-17,-61.728883,0.000000,0.000000
C11-18,-69.163239,0.000000,0.000000
C11-19,-71.713856,0.000000,0.000000
C11-20,-69.795951,0.000000,0.000000
C11-21,-20.244190,0.000000,0.000000
C11-22,-14.834064,0.000000,0.000000
C11-23,-60.423916,0.000000,0.000000
C11-24,-56.568333,0.000000,0.000000
C12-1-1,-78.854050,0.000000,0.000000
C12-1-2,-74.375754,0.000000,0.000000
C12-1-3,-70.652064,0.000000,0.000000
C12-1-4,-66.961136,0.000000,0.000000
C12-1-5,-67.184356,0.000000,0.000000
C12-1-6,-69.445333,0.000000,0.000000
C12-1-7,-72.166906,0.000000,0.000000
C12-1-8,-74.437918,0.000000,0.000000
C12-1-9,-81.204783,0.000000,0.000000
C12-1-10,-87.973643,0.000000,0.000000
C12-1-11,-92.711801,0.000000,0.000000
C12-1-12,-89.583362,0.000000,0.000000
C12-1-13,-85.941829,0.000000,0.000000
C12-1-14,-70.742215,0.000000,0.000000
C12-1-15,-78.332846,0.000000,0.000000
C12-1-16,-83.354998,0.000000,0.000000
C12-1-17,-83.032239,0.000000,0.000000
C12-1-18,-91.732789,0.000000,0.000000
C12-1-19,-64.328738,0.000000,0.000000
C12-1-20,-81.338538,0.000000,0.000000
C12-1-21,-74.974028,0.000000,0.000000
C12-1-22,-72.560546,0.000000,0.000000
C12-1-23,-90.825548,0.000000,0.000000
C12-1-24,-87.110499,0.000000,0.000000
C13-2-1,-47.608461,0.000000,0.000000
C13-2-2,-46.749206,0.000000,0.000000
C13-2-3,-47.897762,0.000000,0.000000
C13-2-4,-49.481762,0.000000,0.000000
C13-2-5,-49.258542,0.000000,0.000000
C13-2-6,-49.057672,0.000000,0.000000
C13-2-7,-50.409494,0.000000,0.000000
C13-2-8,-51.509567,0.000000,0.000000
C13-2-9,-55.651908,0.000000,0.000000
C13-2-10,-60.541384,0.000000,0.000000
C13-2-11,-63.950015,0.000000,0.000000
C13-2-12,-64.284812,0.000000,0.000000
C13-2-13,-68.051211,0.000000,0.000000
C13-2-14,-45.624252,0.000000,0.000000
C13-2-15,-68.028432,0.000000,0.000000
C13-2-16,-60.571608,0.000000,0.000000
C13-2-17,-63.141756,0.000000,0.000000
C13-2-18,-72.045762,0.000000,0.000000
C13-2-19,-54.439674,0.000000,0.000000
C13-2-20,-54.579940,0.000000,0.000000
C13-2-21,-35.015036,0.000000,0.000000
C13-2-22,-30.748842,0.000000,0.000000
C13-2-23,-52.258287,0.000000,0.000000
C13-2-24,-46.843313,0.000000,0.000000
C14-1,-43.054753,0.000000,0.000000
C14-2,-48.239629,0.000000,0.000000
C14-3,-63.454525,0.000000,0.000000
C14-4,-80.946435,0.000000,0.000000
C14-5,-79.289501,0.000000,0.000000
C14-6,-75.254036,0.000000,0.000000
C14-7,-75.180112,0.000000,0.000000
C14-8,-73.982809,0.000000,0.000000
C14-9,-81.528007,0.000000,0.000000
C14-10,-86.930275,0.000000,0.000000
C14-11,-91.838015,0.000000,0.000000
C14-12,-91.418506,0.000000,0.000000
C14-13,-100.870021,0.000000,0.000000
C14-14,-91.212053,0.000000,0.000000
C14-15,-99.769483,0.000000,0.000000
C14-16,-86.918116,0.000000,0.000000
C14-17,-95.379270,0.000000,0.000000
C14-18,-120.368598,0.000000,0.000000
C14-19,-102.496202,0.000000,0.000000
C14-20,-54.208843,0.000000,0.000000
C14-21,-25.231332,0.000000,0.000000
C14-22,-22.590060,0.000000,0.000000
