,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.730599,0.000000,0.000000
C1-2,28.533564,0.000000,0.000000
C1-3,26.791440,0.000000,0.000000
C1-4,20.454047,0.000000,0.000000
C1-5,27.798320,0.000000,0.000000
C1-6,49.522741,0.000000,0.000000
C1-7,50.293703,0.000000,0.000000
C1-8,51.760642,0.000000,0.000000
C1-9,52.200987,0.000000,0.000000
C1-10,61.220173,0.000000,0.000000
C1-11,66.418122,0.000000,0.000000
C1-12,61.766599,0.000000,0.000000
C1-13,65.440853,0.000000,0.000000
C1-14,53.275882,0.000000,0.000000
C1-15,21.470651,0.000000,0.000000
C1-16,15.228916,0.000000,0.000000
C1-17,51.645288,0.000000,0.000000
C1-18,54.423967,0.000000,0.000000
C1-19,54.716505,0.000000,0.000000
C1-20,8.053937,0.000000,0.000000
C1-21,18.690164,0.000000,0.000000
C1-22,53.364228,0.000000,0.000000
C1-23,44.398479,0.000000,0.000000
C1-24,38.787859,0.000000,0.000000
C2-1,-120.548687,0.000000,0.000000
C2-2,-134.011147,0.000000,0.000000
C2-3,-129.244175,0.000000,0.000000
C2-4,-95.077968,0.000000,0.000000
C2-5,-137.327759,0.000000,0.000000
C2-6,-122.711490,0.000000,0.000000
C2-7,-131.478420,0.000000,0.000000
C2-8,-132.344474,0.000000,0.000000
C2-9,-134.763617,0.000000,0.000000
C2-10,-97.205686,0.000000,0.000000
C2-11,-110.427667,0.000000,0.000000
C2-12,-135.442055,0.000000,0.000000
C2-13,-131.898201,0.000000,0.000000
C2-14,-139.280543,0.000000,0.000000
C2-15,-71.711333,0.000000,0.000000
C2-16,-51.291162,0.000000,0.000000
C2-17,-127.187821,0.000000,0.000000
C2-18,-140.288612,0.000000,0.000000
C2-19,-143.377014,0.000000,0.000000
C2-20,-42.847656,0.000000,0.000000
C2-21,-62.310409,0.000000,0.000000
C2-22,-128.314852,0.000000,0.000000
C2-23,-117.167360,0.000000,0.000000
C2-24,-106.748457,0.000000,0.000000
C3-1,25.598854,0.000000,0.000000
C3-2,11.710421,0.000000,0.000000
C3-3,9.368901,0.000000,0.000000
C3-4,5.633244,0.000000,0.000000
C3-5,16.701853,0.000000,0.000000
C3-6,27.764516,0.000000,0.000000
C3-7,30.071778,0.000000,0.000000
C3-8,24.721763,0.000000,0.000000
C3-9,24.445579,0.000000,0.000000
C3-10,25.254732,0.000000,0.000000
C3-11,31.485028,0.000000,0.000000
C3-12,30.781146,0.000000,0.000000
C3-13,32.491803,0.000000,0.000000
C3-14,22.916398,0.000000,0.000000
C3-15,-12.249669,0.000000,0.000000
C3-16,-25.317697,0.000000,0.000000
C3-17,14.401756,0.000000,0.000000
C3-18,18.932661,0.000000,0.000000
C3-19,19.661457,0.000000,0.000000
C3-20,-32.360346,0.000000,0.000000
C3-21,-19.963432,0.000000,0.000000
C3-22,15.808580,0.000000,0.000000
C3-23,18.888464,0.000000,0.000000
C3-24,18.726811,0.000000,0.000000
C4-1,-9.024729,0.000000,0.000000
C4-2,-20.484876,0.000000,0.000000
C4-3,-20.057336,0.000000,0.000000
C4-4,-23.642412,0.000000,0.000000
C4-5,-23.759617,0.000000,0.000000
C4-6,-10.924439,0.000000,0.000000
C4-7,-17.224192,0.000000,0.000000
C4-8,-16.639149,0.000000,0.000000
C4-9,-18.179909,0.000000,0.000000
C4-10,-11.758354,0.000000,0.000000
C4-11,-12.278499,0.000000,0.000000
C4-12,-17.703528,0.000000,0.000000
C4-13,-14.762961,0.000000,0.000000
C4-14,-20.837377,0.000000,0.000000
C4-15,-29.774390,0.000000,0.000000
C4-16,-26.345133,0.000000,0.000000
C4-17,-14.840837,0.000000,0.000000
C4-18,-20.642030,0.000000,0.000000
C4-19,-22.843115,0.000000,0.000000
C4-20,-34.720224,0.000000,0.000000
C4-21,-28.498025,0.000000,0.000000
C4-22,-12.043787,0.000000,0.000000
C4-23,-18.491581,0.000000,0.000000
C4-24,-19.780493,0.000000,0.000000
C5-1,18.141755,0.000000,0.000000
C5-2,9.709043,0.000000,0.000000
C5-3,8.153110,0.000000,0.000000
C5-4,5.907120,0.000000,0.000000
C5-5,13.092419,0.000000,0.000000
C5-6,19.649490,0.000000,0.000000
C5-7,21.610903,0.000000,0.000000
C5-8,18.227377,0.000000,0.000000
C5-9,18.183173,0.000000,0.000000
C5-10,18.433288,0.000000,0.000000
C5-11,22.540341,0.000000,0.000000
C5-12,22.393252,0.000000,0.000000
C5-13,23.341746,0.000000,0.000000
C5-14,17.450652,0.000000,0.000000
C5-15,-4.880552,0.000000,0.000000
C5-16,-13.554233,0.000000,0.000000
C5-17,11.572648,0.000000,0.000000
C5-18,14.951160,0.000000,0.000000
C5-19,15.588251,0.000000,0.000000
C5-20,-17.540138,0.000000,0.000000
C5-21,-9.919372,0.000000,0.000000
C5-22,12.289698,0.000000,0.000000
C5-23,14.497462,0.000000,0.000000
C5-24,14.349118,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,167.581803,0.000000,0.000000
C6-4,99.634125,0.000000,0.000000
C6-5,175.000000,0.000000,0.000000
C6-6,175.000000,0.000000,0.000000
C6-7,175.000000,0.000000,36.682861
C6-8,175.000000,0.000000,57.218865
C6-9,175.000000,0.000000,42.307437
C6-10,120.366992,0.000000,0.000000
C6-11,142.338718,0.000000,0.000000
C6-12,175.000000,0.000000,64.517839
C6-13,175.000000,0.000000,62.388963
C6-14,175.000000,0.000000,57.218865
C6-15,34.460337,0.000000,0.000000
C6-16,4.840547,0.000000,0.000000
C6-17,166.172978,0.000000,0.000000
C6-18,175.000000,0.000000,0.000000
C6-19,175.000000,0.000000,0.000000
C6-20,-30.690002,0.000000,0.000000
C6-21,19.287303,0.000000,0.000000
C6-22,175.000000,0.000000,0.000000
C6-23,144.813932,0.000000,0.000000
C6-24,125.960482,0.000000,0.000000
C7-1,-3.856354,0.000000,0.000000
C7-2,-7.740267,0.000000,0.000000
C7-3,-22.556188,0.000000,0.000000
C7-4,-75.100426,0.000000,0.000000
C7-5,38.489882,0.000000,0.000000
C7-6,14.503330,0.000000,0.000000
C7-7,28.891198,0.000000,0.000000
C7-8,38.016982,0.000000,0.000000
C7-9,60.816297,0.000000,0.000000
C7-10,-62.390647,0.000000,0.000000
C7-11,-22.740581,0.000000,0.000000
C7-12,88.104512,0.000000,0.000000
C7-13,77.330948,0.000000,0.000000
C7-14,35.429553,0.000000,0.000000
C7-15,-140.321323,0.000000,0.000000
C7-16,-158.431614,0.000000,0.000000
C7-17,133.296237,0.000000,0.000000
C7-18,150.838501,0.000000,0.000000
C7-19,182.942323,0.000000,0.000000
C7-20,-124.081096,0.000000,0.000000
C7-21,-44.401277,0.000000,0.000000
C7-22,73.623437,0.000000,0.000000
C7-23,50.454032,0.000000,0.000000
C7-24,4.515397,0.000000,0.000000
C8-1,-40.008278,0.000000,0.000000
C8-2,-50.473487,0.000000,0.000000
C8-3,-49.577741,0.000000,0.000000
C8-4,-52.776547,0.000000,0.000000
C8-5,-53.104444,0.000000,0.000000
C8-6,-42.048451,0.000000,0.000000
C8-7,-52.246020,0.000000,0.000000
C8-8,-54.915011,0.000000,0.000000
C8-9,-58.000852,0.000000,0.000000
C8-10,-53.370186,0.000000,0.000000
C8-11,-55.119372,0.000000,0.000000
C8-12,-61.246710,0.000000,0.000000
C8-13,-58.142271,0.000000,0.000000
C8-14,-64.064520,0.000000,0.000000
C8-15,-72.591853,0.000000,0.000000
C8-16,-68.401761,0.000000,0.000000
C8-17,-56.733593,0.000000,0.000000
C8-18,-66.502834,0.000000,0.000000
C8-19,-70.120243,0.000000,0.000000
C8-20,-80.733195,0.000000,0.000000
C8-21,-72.064618,0.000000,0.000000
C8-22,-52.567039,0.000000,0.000000
C8-23,-55.409644,0.000000,0.000000
C8-24,-53.514754,0.000000,0.000000
C9-1,-4.128605,0.000000,0.000000
C9-2,-17.062436,0.000000,0.000000
C9-3,-18.954731,0.000000,0.000000
C9-4,-22.319777,0.000000,0.000000
C9-5,-11.453320,0.000000,0.000000
C9-6,-2.097711,0.000000,0.000000
C9-7,-3.530246,0.000000,0.000000
C9-8,-12.002375,0.000000,0.000000
C9-9,-13.761001,0.000000,0.000000
C9-10,-14.670133,0.000000,0.000000
C9-11,-9.619053,0.000000,0.000000
C9-12,-10.996772,0.000000,0.000000
C9-13,-9.128887,0.000000,0.000000
C9-14,-18.558293,0.000000,0.000000
C9-15,-53.331289,0.000000,0.000000
C9-16,-65.669327,0.000000,0.000000
C9-17,-25.792645,0.000000,0.000000
C9-18,-25.068921,0.000000,0.000000
C9-19,-25.699030,0.000000,0.000000
C9-20,-76.507926,0.000000,0.000000
C9-21,-61.763811,0.000000,0.000000
C9-22,-23.071837,0.000000,0.000000
C9-23,-16.532922,0.000000,0.000000
C9-24,-13.639845,0.000000,0.000000
C10-1,-38.800984,0.000000,0.000000
C10-2,-45.405161,0.000000,0.000000
C10-3,-46.100607,0.000000,0.000000
