,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,37.748882,0.000000,0.000000
C1-2,48.470132,0.000000,0.000000
C1-3,48.406447,0.000000,0.000000
C1-4,48.336506,0.000000,0.000000
C1-5,48.412109,0.000000,0.000000
C1-6,28.010994,0.000000,0.000000
C1-7,50.171890,0.000000,0.000000
C1-8,30.517072,0.000000,0.000000
C1-9,31.459361,0.000000,0.000000
C1-10,52.849892,0.000000,0.000000
C1-11,53.184731,0.000000,0.000000
C1-12,51.896950,0.000000,0.000000
C1-13,51.917939,0.000000,0.000000
C1-14,53.083304,0.000000,0.000000
C1-15,52.837296,0.000000,0.000000
C1-16,52.537792,0.000000,0.000000
C1-17,72.830842,0.000000,0.000000
C1-18,74.010953,0.000000,0.000000
C1-19,72.647555,0.000000,0.000000
C1-20,54.580449,0.000000,0.000000
C1-21,52.330945,0.000000,0.000000
C1-22,51.713888,0.000000,0.000000
C1-23,50.769821,0.000000,0.000000
C1-24,49.577425,0.000000,0.000000
C2-1,-138.878433,0.000000,0.000000
C2-2,-128.915768,0.000000,0.000000
C2-3,-128.036252,0.000000,0.000000
C2-4,-127.294713,0.000000,0.000000
C2-5,-127.191364,0.000000,0.000000
C2-6,-144.688897,0.000000,0.000000
C2-7,-135.724153,0.000000,0.000000
C2-8,-149.551605,0.000000,0.000000
C2-9,-151.149765,0.000000,0.000000
C2-10,-138.616761,0.000000,0.000000
C2-11,-139.861540,0.000000,0.000000
C2-12,-137.360988,0.000000,0.000000
C2-13,-137.391516,0.000000,0.000000
C2-14,-139.944924,0.000000,0.000000
C2-15,-139.471521,0.000000,0.000000
C2-16,-139.239509,0.000000,0.000000
C2-17,-127.451278,0.000000,0.000000
C2-18,-132.196144,0.000000,0.000000
C2-19,-135.427029,0.000000,0.000000
C2-20,-145.257172,0.000000,0.000000
C2-21,-144.463031,0.000000,0.000000
C2-22,-140.271327,0.000000,0.000000
C2-23,-136.241088,0.000000,0.000000
C2-24,-133.579029,0.000000,0.000000
C3-1,28.192654,0.000000,0.000000
C3-2,35.807229,0.000000,0.000000
C3-3,35.520979,0.000000,0.000000
C3-4,35.344793,0.000000,0.000000
C3-5,34.977927,0.000000,0.000000
C3-6,20.382427,0.000000,0.000000
C3-7,33.175167,0.000000,0.000000
C3-8,13.326213,0.000000,0.000000
C3-9,10.531277,0.000000,0.000000
C3-10,24.216094,0.000000,0.000000
C3-11,23.639796,0.000000,0.000000
C3-12,21.965778,0.000000,0.000000
C3-13,22.368230,0.000000,0.000000
C3-14,24.097937,0.000000,0.000000
C3-15,24.793036,0.000000,0.000000
C3-16,25.851353,0.000000,0.000000
C3-17,43.670699,0.000000,0.000000
C3-18,42.585697,0.000000,0.000000
C3-19,41.890964,0.000000,0.000000
C3-20,30.243536,0.000000,0.000000
C3-21,29.897983,0.000000,0.000000
C3-22,29.791226,0.000000,0.000000
C3-23,31.095436,0.000000,0.000000
C3-24,34.238238,0.000000,0.000000
C4-1,-24.656619,0.000000,0.000000
C4-2,-16.770169,0.000000,0.000000
C4-3,-16.126308,0.000000,0.000000
C4-4,-15.597558,0.000000,0.000000
C4-5,-15.449771,0.000000,0.000000
C4-6,-29.426536,0.000000,0.000000
C4-7,-20.704977,0.000000,0.000000
C4-8,-31.116425,0.000000,0.000000
C4-9,-31.568814,0.000000,0.000000
C4-10,-20.679534,0.000000,0.000000
C4-11,-21.378356,0.000000,0.000000
C4-12,-22.041553,0.000000,0.000000
C4-13,-21.912252,0.000000,0.000000
C4-14,-21.532691,0.000000,0.000000
C4-15,-21.369938,0.000000,0.000000
C4-16,-21.445513,0.000000,0.000000
C4-17,-11.981568,0.000000,0.000000
C4-18,-14.848348,0.000000,0.000000
C4-19,-17.258395,0.000000,0.000000
C4-20,-25.917136,0.000000,0.000000
C4-21,-25.777388,0.000000,0.000000
C4-22,-22.980985,0.000000,0.000000
C4-23,-20.596821,0.000000,0.000000
C4-24,-19.515838,0.000000,0.000000
C5-1,20.671872,0.000000,0.000000
C5-2,25.148400,0.000000,0.000000
C5-3,24.916495,0.000000,0.000000
C5-4,24.762758,0.000000,0.000000
C5-5,24.521798,0.000000,0.000000
C5-6,15.857334,0.000000,0.000000
C5-7,23.834476,0.000000,0.000000
C5-8,11.599172,0.000000,0.000000
C5-9,9.894515,0.000000,0.000000
C5-10,18.247711,0.000000,0.000000
C5-11,17.946510,0.000000,0.000000
C5-12,16.907658,0.000000,0.000000
C5-13,17.152241,0.000000,0.000000
C5-14,18.244910,0.000000,0.000000
C5-15,18.664685,0.000000,0.000000
C5-16,19.330664,0.000000,0.000000
C5-17,30.374574,0.000000,0.000000
C5-18,29.941237,0.000000,0.000000
C5-19,29.653025,0.000000,0.000000
C5-20,22.500116,0.000000,0.000000
C5-21,22.212889,0.000000,0.000000
C5-22,21.914107,0.000000,0.000000
C5-23,22.529090,0.000000,0.000000
C5-24,24.398388,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,175.000000,0.000000,0.000000
C6-4,175.000000,0.000000,0.000000
C6-5,175.000000,0.000000,0.000000
C6-6,175.000000,0.000000,0.000000
C6-7,175.000000,0.000000,36.682861
C6-8,175.000000,0.000000,0.000000
C6-9,175.000000,0.000000,0.000000
C6-10,175.000000,0.000000,0.000000
C6-11,175.000000,0.000000,0.000000
C6-12,168.851161,0.000000,0.000000
C6-13,169.394038,0.000000,0.000000
C6-14,175.000000,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,175.000000,0.000000,36.682861
C6-18,175.000000,0.000000,64.517839
C6-19,175.000000,0.000000,68.375744
C6-20,175.000000,0.000000,57.218865
C6-21,175.000000,0.000000,36.682861
C6-22,175.000000,0.000000,36.682861
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,0.000000
C7-1,76.390315,0.000000,0.000000
C7-2,88.988820,0.000000,0.000000
C7-3,87.738503,0.000000,0.000000
C7-4,87.691943,0.000000,0.000000
C7-5,84.468160,0.000000,0.000000
C7-6,61.896746,0.000000,0.000000
C7-7,67.231869,0.000000,0.000000
C7-8,96.792368,0.000000,0.000000
C7-9,93.486668,0.000000,0.000000
C7-10,73.823532,0.000000,0.000000
C7-11,254.292797,0.000000,0.000000
C7-12,35.305947,0.000000,0.000000
C7-13,81.018844,0.000000,0.000000
C7-14,111.814664,0.000000,0.000000
C7-15,240.642440,0.000000,0.000000
C7-16,190.012914,0.000000,0.000000
C7-17,75.503290,0.000000,0.000000
C7-18,121.039193,0.000000,0.000000
C7-19,119.350798,0.000000,0.000000
C7-20,47.660027,0.000000,0.000000
C7-21,45.500176,0.000000,0.000000
C7-22,51.265259,0.000000,0.000000
C7-23,31.949197,0.000000,0.000000
C7-24,57.508883,0.000000,0.000000
C8-1,-56.494645,0.000000,0.000000
C8-2,-47.355743,0.000000,0.000000
C8-3,-46.349023,0.000000,0.000000
C8-4,-45.480823,0.000000,0.000000
C8-5,-45.461793,0.000000,0.000000
C8-6,-61.147511,0.000000,0.000000
C8-7,-56.592987,0.000000,0.000000
C8-8,-69.286940,0.000000,0.000000
C8-9,-72.103771,0.000000,0.000000
C8-10,-62.853213,0.000000,0.000000
C8-11,-64.570384,0.000000,0.000000
C8-12,-65.549620,0.000000,0.000000
C8-13,-65.151101,0.000000,0.000000
C8-14,-64.537437,0.000000,0.000000
C8-15,-63.742605,0.000000,0.000000
C8-16,-63.139281,0.000000,0.000000
C8-17,-53.511464,0.000000,0.000000
C8-18,-59.796149,0.000000,0.000000
C8-19,-63.224545,0.000000,0.000000
C8-20,-70.162628,0.000000,0.000000
C8-21,-68.419274,0.000000,0.000000
C8-22,-63.246724,0.000000,0.000000
C8-23,-57.854334,0.000000,0.000000
C8-24,-53.612959,0.000000,0.000000
C9-1,-2.354641,0.000000,0.000000
C9-2,6.461611,0.000000,0.000000
C9-3,6.523510,0.000000,0.000000
C9-4,6.673012,0.000000,0.000000
C9-5,6.182609,0.000000,0.000000
C9-6,-10.052562,0.000000,0.000000
C9-7,-1.257924,0.000000,0.000000
C9-8,-23.296849,0.000000,0.000000
C9-9,-28.360371,0.000000,0.000000
C9-10,-16.247841,0.000000,0.000000
C9-11,-17.801204,0.000000,0.000000
C9-12,-19.778448,0.000000,0.000000
C9-13,-19.117692,0.000000,0.000000
C9-14,-17.163372,0.000000,0.000000
C9-15,-15.861821,0.000000,0.000000
C9-16,-14.152127,0.000000,0.000000
C9-17,3.824448,0.000000,0.000000
C9-18,-0.539896,0.000000,0.000000
C9-19,-2.211694,0.000000,0.000000
C9-20,-12.208219,0.000000,0.000000
C9-21,-11.015177,0.000000,0.000000
C9-22,-8.842118,0.000000,0.000000
C9-23,-4.651637,0.000000,0.000000
C9-24,1.523433,0.000000,0.000000
C10-1,-37.841256,0.000000,0.000000
C10-2,-31.062925,0.000000,0.000000
C10-3,-30.627953,0.000000,0.000000
C10-4,-30.157837,0.000000,0.000000
C10-5,-30.635431,0.000000,0.000000
C10-6,-42.440673,0.000000,0.000000
C10-7,-42.121867,0.000000,0.000000
C10-8,-58.552046,0.000000,0.000000
C10-9,-64.602163,0.000000,0.000000
C10-10,-59.260672,0.000000,0.000000
C10-11,-61.433433,0.000000,0.000000
C10-12,-63.053114,0.000000,0.000000
C10-13,-62.313751,0.000000,0.000000
C10-14,-60.790838,0.000000,0.000000
C10-15,-59.209406,0.000000,0.000000
C10-16,-57.295720,0.000000,0.000000
C10-17,-45.950640,0.000000,0.000000
C10-18,-52.665533,0.000000,0.000000
C10-19,-54.825305,0.000000,0.000000
C10-20,-58.815923,0.000000,0.000000
C10-21,-56.155982,0.000000,0.000000
C10-22,-52.087791,0.000000,0.000000
C10-23,-45.944178,0.000000,0.000000
C10-24,-38.266592,0.000000,0.000000
C11-1,-53.780449,0.000000,0.000000
C11-2,-51.664821,0.000000,0.000000
C11-3,-51.051882,0.000000,0.000000
C11-4,-50.478488,0.000000,0.000000
C11-5,-50.695982,0.000000,0.000000
C11-6,-53.582727,0.000000,0.000000
C11-7,-60.621639,0.000000,0.000000
C11-8,-64.477222,0.000000,0.000000
C11-9,-68.471212,0.000000,0.000000
C11-10,-71.239323,0.000000,0.000000
C11-11,-72.959506,0.000000,0.000000
C11-12,-73.493357,0.000000,0.000000
C11-13,-73.038595,0.000000,0.000000
C11-14,-72.643151,0.000000,0.000000
C11-15,-71.575451,0.000000,0.000000
C11-16,-70.428662,0.000000,0.000000
C11-17,-70.151851,0.000000,0.000000
C11-18,12.074660,0.000000,0.000000
C11-19,10.354476,0.000000,0.000000
C11-20,-74.739007,0.000000,0.000000
C11-21,-72.030212,0.000000,0.000000
C11-22,-68.016450,0.000000,0.000000
C11-23,-62.934989,0.000000,0.000000
C11-24,-57.596488,0.000000,0.000000
C12-1-1,-96.001860,0.000000,0.000000
C12-1-2,-91.439219,0.000000,0.000000
C12-1-3,-90.093917,0.000000,0.000000
C12-1-4,-88.935368,0.000000,0.000000
C12-1-5,-88.901532,0.000000,0.000000
C12-1-6,-95.418428,0.000000,0.000000
C12-1-7,-103.660833,0.000000,0.000000
C12-1-8,-105.977377,0.000000,0.000000
C12-1-9,-107.557934,0.000000,0.000000
C12-1-10,-94.026736,0.000000,0.000000
C12-1-11,-78.296667,0.000000,0.000000
C12-1-12,-74.988765,0.000000,0.000000
C12-1-13,-74.203946,0.000000,0.000000
C12-1-14,-78.163511,0.000000,0.000000
C12-1-15,-84.322785,0.000000,0.000000
C12-1-16,-95.045154,0.000000,0.000000
C12-1-17,-113.463672,0.000000,0.000000
C12-1-18,-78.140026,0.000000,0.000000
C12-1-19,-81.617773,0.000000,0.000000
C12-1-20,-122.795955,0.000000,0.000000
C12-1-21,-119.310112,0.000000,0.000000
C12-1-22,-112.429652,0.000000,0.000000
C12-1-23,-105.289686,0.000000,0.000000
C12-1-24,-99.722992,0.000000,0.000000
C13-2-1,-31.350244,0.000000,0.000000
C13-2-2,-30.903078,0.000000,0.000000
C13-2-3,-30.796940,0.000000,0.000000
C13-2-4,-30.597691,0.000000,0.000000
C13-2-5,-31.146554,0.000000,0.000000
C13-2-6,-31.465469,0.000000,0.000000
C13-2-7,-39.891208,0.000000,0.000000
C13-2-8,-46.504686,0.000000,0.000000
C13-2-9,-50.181895,0.000000,0.000000
C13-2-10,-39.167981,0.000000,0.000000
C13-2-11,-22.971445,0.000000,0.000000
C13-2-12,-20.343504,0.000000,0.000000
C13-2-13,-19.351448,0.000000,0.000000
C13-2-14,-22.155470,0.000000,0.000000
C13-2-15,-27.867883,0.000000,0.000000
C13-2-16,-37.429917,0.000000,0.000000
