,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,36.440636,0.000000,0.000000
C1-2,28.209648,0.000000,0.000000
C1-3,46.049429,0.000000,0.000000
C1-4,48.829075,0.000000,0.000000
C1-5,-11.211325,0.000000,0.000000
C1-6,16.290673,0.000000,0.000000
C1-7,50.850310,0.000000,0.000000
C1-8,33.696849,0.000000,0.000000
C1-9,-8.762628,0.000000,0.000000
C1-10,-3.025425,0.000000,0.000000
C1-11,36.414378,0.000000,0.000000
C1-12,47.183129,0.000000,0.000000
C1-13,61.886927,0.000000,0.000000
C1-14,73.861218,0.000000,0.000000
C1-15,52.613303,0.000000,0.000000
C1-16,64.855739,0.000000,0.000000
C1-17,51.739958,0.000000,0.000000
C1-18,50.820186,0.000000,0.000000
C1-19,51.945533,0.000000,0.000000
C1-20,74.493340,0.000000,0.000000
C1-21,51.920670,0.000000,0.000000
C1-22,50.553427,0.000000,0.000000
C1-23,48.664275,0.000000,0.000000
C1-24,48.506851,0.000000,0.000000
C2-1,-127.382368,0.000000,0.000000
C2-2,-131.791289,0.000000,0.000000
C2-3,-111.352512,0.000000,0.000000
C2-4,-119.387058,0.000000,0.000000
C2-5,-53.378412,0.000000,0.000000
C2-6,-50.324310,0.000000,0.000000
C2-7,-120.845206,0.000000,0.000000
C2-8,-86.956429,0.000000,0.000000
C2-9,-7.776634,0.000000,0.000000
C2-10,-74.041514,0.000000,0.000000
C2-11,-105.677704,0.000000,0.000000
C2-12,-127.284907,0.000000,0.000000
C2-13,-132.828566,0.000000,0.000000
C2-14,-128.922428,0.000000,0.000000
C2-15,-141.093695,0.000000,0.000000
C2-16,-131.216762,0.000000,0.000000
C2-17,-136.642577,0.000000,0.000000
C2-18,-136.869221,0.000000,0.000000
C2-19,-138.277866,0.000000,0.000000
C2-20,-124.590660,0.000000,0.000000
C2-21,-138.606156,0.000000,0.000000
C2-22,-135.224269,0.000000,0.000000
C2-23,-129.398145,0.000000,0.000000
C2-24,-127.204844,0.000000,0.000000
C3-1,18.833548,0.000000,0.000000
C3-2,11.642381,0.000000,0.000000
C3-3,23.397990,0.000000,0.000000
C3-4,28.499141,0.000000,0.000000
C3-5,-28.442848,0.000000,0.000000
C3-6,-10.963516,0.000000,0.000000
C3-7,21.290689,0.000000,0.000000
C3-8,-0.432922,0.000000,0.000000
C3-9,-41.270292,0.000000,0.000000
C3-10,-31.417578,0.000000,0.000000
C3-11,6.021314,0.000000,0.000000
C3-12,16.723101,0.000000,0.000000
C3-13,26.846039,0.000000,0.000000
C3-14,41.170036,0.000000,0.000000
C3-15,26.690452,0.000000,0.000000
C3-16,36.261748,0.000000,0.000000
C3-17,27.451812,0.000000,0.000000
C3-18,31.280291,0.000000,0.000000
C3-19,27.634452,0.000000,0.000000
C3-20,35.966981,0.000000,0.000000
C3-21,27.936356,0.000000,0.000000
C3-22,31.337087,0.000000,0.000000
C3-23,33.413402,0.000000,0.000000
C3-24,34.606250,0.000000,0.000000
C4-1,-15.415140,0.000000,0.000000
C4-2,-19.001457,0.000000,0.000000
C4-3,-8.179667,0.000000,0.000000
C4-4,-8.883959,0.000000,0.000000
C4-5,-34.257685,0.000000,0.000000
C4-6,-19.097831,0.000000,0.000000
C4-7,-8.288386,0.000000,0.000000
C4-8,-16.390679,0.000000,0.000000
C4-9,-37.281629,0.000000,0.000000
C4-10,-42.036984,0.000000,0.000000
C4-11,-27.228776,0.000000,0.000000
C4-12,-23.314938,0.000000,0.000000
C4-13,-15.218211,0.000000,0.000000
C4-14,-12.375981,0.000000,0.000000
C4-15,-22.853898,0.000000,0.000000
C4-16,-15.032555,0.000000,0.000000
C4-17,-20.073771,0.000000,0.000000
C4-18,-21.052416,0.000000,0.000000
C4-19,-21.195237,0.000000,0.000000
C4-20,-8.383790,0.000000,0.000000
C4-21,-21.477787,0.000000,0.000000
C4-22,-19.976385,0.000000,0.000000
C4-23,-17.538314,0.000000,0.000000
C4-24,-15.378238,0.000000,0.000000
C5-1,14.019332,0.000000,0.000000
C5-2,9.543437,0.000000,0.000000
C5-3,16.592114,0.000000,0.000000
C5-4,19.937963,0.000000,0.000000
C5-5,-15.603276,0.000000,0.000000
C5-6,-5.025606,0.000000,0.000000
C5-7,15.395102,0.000000,0.000000
C5-8,1.863706,0.000000,0.000000
C5-9,-23.402543,0.000000,0.000000
C5-10,-16.669080,0.000000,0.000000
C5-11,6.842458,0.000000,0.000000
C5-12,13.574625,0.000000,0.000000
C5-13,19.721398,0.000000,0.000000
C5-14,28.853459,0.000000,0.000000
C5-15,19.970681,0.000000,0.000000
C5-16,25.726636,0.000000,0.000000
C5-17,20.214394,0.000000,0.000000
C5-18,22.682156,0.000000,0.000000
C5-19,20.421377,0.000000,0.000000
C5-20,25.278586,0.000000,0.000000
C5-21,20.633035,0.000000,0.000000
C5-22,22.628198,0.000000,0.000000
C5-23,23.701798,0.000000,0.000000
C5-24,24.284172,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,161.886076,0.000000,0.000000
C6-4,175.000000,0.000000,0.000000
C6-5,1.057907,0.000000,0.000000
C6-6,27.129715,0.000000,0.000000
C6-7,175.000000,0.000000,0.000000
C6-8,94.178384,0.000000,0.000000
C6-9,-94.229660,0.000000,0.000000
C6-10,12.202914,0.000000,0.000000
C6-11,100.935889,0.000000,0.000000
C6-12,148.030342,0.000000,0.000000
C6-13,175.000000,0.000000,62.388963
C6-14,175.000000,0.000000,64.517839
C6-15,175.000000,0.000000,62.388963
C6-16,175.000000,0.000000,62.388963
C6-17,175.000000,0.000000,62.388963
C6-18,175.000000,0.000000,36.682861
C6-19,175.000000,0.000000,57.218865
C6-20,175.000000,0.000000,64.517839
C6-21,175.000000,0.000000,62.388963
C6-22,175.000000,0.000000,45.353275
C6-23,172.780978,0.000000,0.000000
C6-24,175.000000,0.000000,36.682861
C7-1,16.255189,0.000000,0.000000
C7-2,-1.139729,0.000000,0.000000
C7-3,-5.268225,0.000000,0.000000
C7-4,36.842041,0.000000,0.000000
C7-5,-126.157293,0.000000,0.000000
C7-6,-178.891080,0.000000,0.000000
C7-7,12.006114,0.000000,0.000000
C7-8,4.052683,0.000000,0.000000
C7-9,-59.896231,0.000000,0.000000
C7-10,8.572342,0.000000,0.000000
C7-11,85.641387,0.000000,0.000000
C7-12,18.338170,0.000000,0.000000
C7-13,87.774321,0.000000,0.000000
C7-14,111.690218,0.000000,0.000000
