timepoint,Storage_Index,ChargeMaxOffer,DischargeMaxOffer
1,313_STORAGE_1,0.0,0.0
1,301_STORAGE_1,-0.0,-0.0
2,301_STORAGE_1,-0.0,-0.0
2,313_STORAGE_1,0.0,0.0
3,313_STORAGE_1,0.0,0.0
3,301_STORAGE_1,-0.0,-0.0
4,313_STORAGE_1,0.0,0.0
4,301_STORAGE_1,-0.0,-0.0
5,313_STORAGE_1,0.0,0.0
5,301_STORAGE_1,-0.0,-0.0
6,313_STORAGE_1,0.0,0.0
6,301_STORAGE_1,-0.0,-0.0
7,313_STORAGE_1,0.0,0.0
7,301_STORAGE_1,-0.0,-0.0
8,313_STORAGE_1,0.0,0.0
8,301_STORAGE_1,-0.0,-0.0
9,301_STORAGE_1,-0.0,-0.0
9,313_STORAGE_1,-0.0,-0.0
10,301_STORAGE_1,-0.0,-0.0
10,313_STORAGE_1,-0.0,-0.0
11,301_STORAGE_1,-0.0,-0.0
11,313_STORAGE_1,-0.0,-0.0
12,301_STORAGE_1,15.731579,18.507740000000002
12,313_STORAGE_1,15.731579,18.507740000000002
13,301_STORAGE_1,22.732463,26.74407411764706
13,313_STORAGE_1,22.732463,26.74407411764706
14,301_STORAGE_1,22.732463,26.74407411764706
14,313_STORAGE_1,22.732463,26.74407411764706
15,313_STORAGE_1,26.401998,31.06117411764706
15,301_STORAGE_1,26.401998,31.06117411764706
16,301_STORAGE_1,26.429209000000004,31.093187058823535
16,313_STORAGE_1,26.429209000000004,31.093187058823535
17,301_STORAGE_1,22.742374749999996,26.755734999999998
17,313_STORAGE_1,22.742374749999996,26.755734999999998
18,301_STORAGE_1,22.464827650000004,26.429209000000004
18,313_STORAGE_1,22.464827650000004,26.429209000000004
19,313_STORAGE_1,22.464827650000004,26.429209000000004
19,301_STORAGE_1,22.464827650000004,26.429209000000004
20,301_STORAGE_1,22.464827650000004,26.429209000000004
20,313_STORAGE_1,22.464827650000004,26.429209000000004
21,301_STORAGE_1,26.401998,31.06117411764706
21,313_STORAGE_1,26.401998,31.06117411764706
22,301_STORAGE_1,22.464827650000004,26.429209000000004
22,313_STORAGE_1,22.464827650000004,26.429209000000004
23,301_STORAGE_1,22.02207285,25.908321
23,313_STORAGE_1,22.02207285,25.908321
24,313_STORAGE_1,0.0,30.480377647058827
24,301_STORAGE_1,0.0,30.480377647058827
