time,Storage_Index
1,313_STORAGE_1
1,301_STORAGE_1
2,313_STORAGE_1
2,301_STORAGE_1
3,313_STORAGE_1
3,301_STORAGE_1
4,313_STORAGE_1
4,301_STORAGE_1
5,313_STORAGE_1
5,301_STORAGE_1
6,313_STORAGE_1
6,301_STORAGE_1
7,313_STORAGE_1
7,301_STORAGE_1
8,313_STORAGE_1
8,301_STORAGE_1
9,313_STORAGE_1
9,301_STORAGE_1
10,313_STORAGE_1
10,301_STORAGE_1
11,313_STORAGE_1
11,301_STORAGE_1
12,313_STORAGE_1
12,301_STORAGE_1
13,313_STORAGE_1
13,301_STORAGE_1
14,313_STORAGE_1
14,301_STORAGE_1
15,313_STORAGE_1
15,301_STORAGE_1
16,313_STORAGE_1
16,301_STORAGE_1
17,313_STORAGE_1
17,301_STORAGE_1
18,313_STORAGE_1
18,301_STORAGE_1
19,313_STORAGE_1
19,301_STORAGE_1
20,313_STORAGE_1
20,301_STORAGE_1
21,313_STORAGE_1
21,301_STORAGE_1
22,313_STORAGE_1
22,301_STORAGE_1
23,313_STORAGE_1
23,301_STORAGE_1
24,313_STORAGE_1
24,301_STORAGE_1
