,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,0.000000,0.000000,,0.000000,28.891667
314_PV_1-1,1,0.000000,0.000000,,0.000000,27.925000
314_PV_2-1,1,0.000000,0.000000,,0.000000,6.725000
313_PV_1-1,1,0.000000,0.000000,,0.000000,49.250000
314_PV_3-1,1,0.000000,0.000000,,0.000000,43.158333
314_PV_4-1,1,0.000000,0.000000,,0.000000,24.516667
313_PV_2-1,1,0.000000,0.000000,,0.000000,47.416667
310_PV_1-1,1,0.000000,0.000000,,0.000000,27.808333
324_PV_1-1,1,0.000000,0.000000,,0.000000,13.500000
312_PV_1-1,1,0.000000,0.000000,,0.000000,42.008333
310_PV_2-1,1,0.000000,0.000000,,0.000000,19.858333
324_PV_2-1,1,0.000000,0.000000,,0.000000,19.533333
324_PV_3-1,1,0.000000,0.000000,,0.000000,20.275000
319_PV_1-1,1,0.000000,0.000000,,0.000000,108.308333
308_RTPV_1-1,1,0.000000,0.000000,,0.000000,32.150000
313_RTPV_1-1,1,0.000000,0.000000,,0.000000,32.191667
313_RTPV_2-1,1,0.000000,0.000000,,0.000000,20.866667
313_RTPV_3-1,1,0.000000,0.000000,,0.000000,19.183333
313_RTPV_4-1,1,0.000000,0.000000,,0.000000,20.133333
313_RTPV_5-1,1,0.000000,0.000000,,0.000000,19.508333
313_RTPV_6-1,1,0.000000,0.000000,,0.000000,20.258333
313_RTPV_7-1,1,0.000000,0.000000,,0.000000,21.316667
313_RTPV_8-1,1,0.000000,0.000000,,0.000000,20.575000
313_RTPV_9-1,1,0.000000,0.000000,,0.000000,21.891667
313_RTPV_10-1,1,0.000000,0.000000,,0.000000,21.658333
313_RTPV_11-1,1,0.000000,0.000000,,0.000000,22.216667
313_RTPV_12-1,1,0.000000,0.000000,,0.000000,9.225000
320_RTPV_1-1,1,0.000000,0.000000,,0.000000,9.325000
320_RTPV_2-1,1,0.000000,0.000000,,0.000000,9.350000
320_RTPV_3-1,1,0.000000,0.000000,,0.000000,9.466667
313_RTPV_13-1,1,0.000000,0.000000,,0.000000,9.108333
320_RTPV_4-1,1,0.000000,0.000000,,0.000000,9.333333
320_RTPV_5-1,1,0.000000,0.000000,,0.000000,9.766667
320_RTPV_6-1,1,0.000000,0.000000,,0.000000,3.325000
309_WIND_1-1,1,0.000000,0.000000,,0.000000,107.858333
317_WIND_1-1,1,0.000000,0.000000,,0.000000,387.816667
303_WIND_1-1,1,0.000000,0.000000,,0.000000,97.858333
320_PV_1-2,2,0.000000,0.000000,,0.000000,27.750000
314_PV_1-2,2,0.000000,0.000000,,0.000000,27.841667
314_PV_2-2,2,0.000000,0.000000,,0.000000,19.825000
313_PV_1-2,2,0.000000,0.000000,,0.000000,62.541667
314_PV_3-2,2,0.000000,0.000000,,0.000000,51.016667
314_PV_4-2,2,0.000000,0.000000,,0.000000,22.458333
313_PV_2-2,2,0.000000,0.000000,,0.000000,58.408333
310_PV_1-2,2,0.000000,0.000000,,0.000000,22.508333
324_PV_1-2,2,0.000000,0.000000,,0.000000,27.616667
312_PV_1-2,2,0.000000,0.000000,,0.000000,47.283333
310_PV_2-2,2,0.000000,0.000000,,0.000000,27.975000
324_PV_2-2,2,0.000000,0.000000,,0.000000,31.158333
324_PV_3-2,2,0.000000,0.000000,,0.000000,30.133333
319_PV_1-2,2,0.000000,0.000000,,0.000000,101.158333
308_RTPV_1-2,2,0.000000,0.000000,,0.000000,56.216667
313_RTPV_1-2,2,0.000000,0.000000,,0.000000,55.758333
313_RTPV_2-2,2,0.000000,0.000000,,0.000000,35.183333
313_RTPV_3-2,2,0.000000,0.000000,,0.000000,32.600000
313_RTPV_4-2,2,0.000000,0.000000,,0.000000,33.225000
