,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,0.000000,0.000000,0.000000,0.000000,34.166667
314_PV_1-1,1,32.608333,0.000000,0.000000,0.000000,32.608333
314_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,31.333333
313_PV_1-1,1,0.000000,0.000000,0.000000,0.000000,60.683333
314_PV_3-1,1,0.000000,0.000000,0.000000,0.000000,53.783333
314_PV_4-1,1,34.808333,0.000000,0.000000,0.000000,34.808333
313_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,60.750000
310_PV_1-1,1,32.191667,0.000000,0.000000,0.000000,32.191667
324_PV_1-1,1,30.283333,0.000000,0.000000,0.000000,30.283333
312_PV_1-1,1,58.225000,0.000000,0.000000,0.000000,58.225000
310_PV_2-1,1,31.433333,0.000000,0.000000,0.000000,31.433333
324_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,32.950000
324_PV_3-1,1,0.000000,0.000000,0.000000,0.000000,33.233333
319_PV_1-1,1,134.141667,0.000000,0.000000,0.000000,134.141667
308_RTPV_1-1,1,52.058333,0.000000,0.000000,0.000000,52.058333
313_RTPV_1-1,1,0.000000,0.000000,0.000000,0.000000,53.566667
313_RTPV_2-1,1,0.000000,0.000000,0.000000,0.000000,33.141667
313_RTPV_3-1,1,29.641667,0.000000,0.000000,0.000000,29.641667
313_RTPV_4-1,1,0.000000,0.000000,0.000000,0.000000,29.550000
313_RTPV_5-1,1,27.166667,0.000000,0.000000,0.000000,27.166667
313_RTPV_6-1,1,0.000000,0.000000,0.000000,0.000000,32.233333
313_RTPV_7-1,1,0.000000,0.000000,0.000000,0.000000,30.891667
313_RTPV_8-1,1,0.000000,0.000000,0.000000,0.000000,30.550000
313_RTPV_9-1,1,0.000000,0.000000,0.000000,0.000000,32.858333
313_RTPV_10-1,1,0.000000,0.000000,0.000000,0.000000,31.883333
313_RTPV_11-1,1,0.000000,0.000000,0.000000,0.000000,29.691667
313_RTPV_12-1,1,0.000000,0.000000,0.000000,0.000000,13.558333
320_RTPV_1-1,1,0.000000,0.000000,0.000000,0.000000,14.908333
320_RTPV_2-1,1,0.000000,0.000000,0.000000,0.000000,14.483333
320_RTPV_3-1,1,0.000000,0.000000,0.000000,0.000000,14.400000
313_RTPV_13-1,1,0.017315,0.000000,0.000000,0.000000,13.483333
320_RTPV_4-1,1,0.000000,0.000000,0.000000,0.000000,13.041667
320_RTPV_5-1,1,0.000000,0.000000,0.000000,0.000000,11.475000
320_RTPV_6-1,1,0.000000,0.000000,0.000000,0.000000,4.800000
309_WIND_1-1,1,65.100000,0.000000,0.000000,0.000000,65.100000
317_WIND_1-1,1,207.791667,0.000000,0.000000,0.000000,207.791667
303_WIND_1-1,1,570.891432,0.000000,0.000000,0.000000,693.050000
320_PV_1-2,2,-0.000000,0.000000,0.000000,0.000000,28.283333
314_PV_1-2,2,27.583333,0.000000,0.000000,0.000000,27.583333
314_PV_2-2,2,24.225000,0.000000,0.000000,0.000000,24.225000
313_PV_1-2,2,0.000000,0.000000,0.000000,0.000000,45.625000
314_PV_3-2,2,39.191667,0.000000,0.000000,0.000000,39.191667
314_PV_4-2,2,29.291667,0.000000,0.000000,0.000000,29.291667
313_PV_2-2,2,0.000000,0.000000,0.000000,0.000000,43.766667
310_PV_1-2,2,28.491667,0.000000,0.000000,0.000000,28.491667
324_PV_1-2,2,29.575000,0.000000,0.000000,0.000000,29.575000
312_PV_1-2,2,44.325000,0.000000,0.000000,0.000000,44.325000
310_PV_2-2,2,24.891667,0.000000,0.000000,0.000000,24.891667
324_PV_2-2,2,27.966667,0.000000,0.000000,0.000000,27.966667
324_PV_3-2,2,0.000000,0.000000,0.000000,0.000000,27.983333
319_PV_1-2,2,0.000000,0.000000,0.000000,0.000000,106.183333
308_RTPV_1-2,2,30.650000,0.000000,0.000000,0.000000,30.650000
313_RTPV_1-2,2,24.948336,0.000000,0.000000,0.000000,32.450000
313_RTPV_2-2,2,0.000000,0.000000,0.000000,0.000000,19.108333
313_RTPV_3-2,2,0.000000,0.000000,0.000000,0.000000,16.158333
313_RTPV_4-2,2,0.000000,0.000000,0.000000,0.000000,18.333333
313_RTPV_5-2,2,0.000000,0.000000,0.000000,0.000000,14.075000
313_RTPV_6-2,2,0.000000,0.000000,0.000000,0.000000,18.258333
313_RTPV_7-2,2,0.000000,0.000000,0.000000,0.000000,17.900000
313_RTPV_8-2,2,0.000000,0.000000,0.000000,0.000000,17.141667
313_RTPV_9-2,2,0.000000,0.000000,0.000000,0.000000,19.350000
313_RTPV_10-2,2,0.000000,0.000000,0.000000,0.000000,17.183333
313_RTPV_11-2,2,0.000000,0.000000,0.000000,0.000000,16.675000
313_RTPV_12-2,2,0.000000,0.000000,0.000000,0.000000,7.683333
320_RTPV_1-2,2,0.000000,0.000000,0.000000,0.000000,8.333333
320_RTPV_2-2,2,0.000000,0.000000,0.000000,0.000000,8.250000
320_RTPV_3-2,2,0.000000,0.000000,0.000000,0.000000,8.241667
313_RTPV_13-2,2,0.000000,0.000000,0.000000,0.000000,7.425000
320_RTPV_4-2,2,0.000000,0.000000,0.000000,0.000000,7.366667
320_RTPV_5-2,2,0.000000,0.000000,0.000000,0.000000,6.341667
320_RTPV_6-2,2,0.000000,0.000000,0.000000,0.000000,2.725000
309_WIND_1-2,2,63.816667,0.000000,0.000000,0.000000,63.816667
317_WIND_1-2,2,318.866667,0.000000,0.000000,0.000000,318.866667
303_WIND_1-2,2,533.028926,0.000000,0.000000,0.000000,555.758333
320_PV_1-3,3,8.575000,0.000000,0.000000,0.000000,8.575000
314_PV_1-3,3,9.150000,0.000000,0.000000,0.000000,9.150000
314_PV_2-3,3,3.933333,0.000000,0.000000,0.000000,3.933333
313_PV_1-3,3,13.833333,0.000000,0.000000,0.000000,13.833333
314_PV_3-3,3,10.791667,0.000000,0.000000,0.000000,10.791667
314_PV_4-3,3,9.425000,0.000000,0.000000,0.000000,9.425000
313_PV_2-3,3,12.558333,0.000000,0.000000,0.000000,12.558333
310_PV_1-3,3,8.833333,0.000000,0.000000,0.000000,8.833333
324_PV_1-3,3,5.475000,0.000000,0.000000,0.000000,5.475000
312_PV_1-3,3,13.050000,0.000000,0.000000,0.000000,13.050000
310_PV_2-3,3,6.583333,0.000000,0.000000,0.000000,6.583333
324_PV_2-3,3,10.166667,0.000000,0.000000,0.000000,10.166667
324_PV_3-3,3,8.725000,0.000000,0.000000,0.000000,8.725000
319_PV_1-3,3,24.833333,0.000000,0.000000,0.000000,24.833333
308_RTPV_1-3,3,3.608333,0.000000,0.000000,0.000000,3.608333
313_RTPV_1-3,3,3.358333,0.000000,0.000000,0.000000,3.358333
313_RTPV_2-3,3,1.783333,0.000000,0.000000,0.000000,1.783333
313_RTPV_3-3,3,1.633333,0.000000,0.000000,0.000000,1.633333
313_RTPV_4-3,3,1.908333,0.000000,0.000000,0.000000,1.908333
313_RTPV_5-3,3,0.791667,0.000000,0.000000,0.000000,0.791667
313_RTPV_6-3,3,2.658333,0.000000,0.000000,0.000000,2.658333
313_RTPV_7-3,3,1.933333,0.000000,0.000000,0.000000,1.933333
313_RTPV_8-3,3,1.666667,0.000000,0.000000,0.000000,1.666667
313_RTPV_9-3,3,2.250000,0.000000,0.000000,0.000000,2.250000
313_RTPV_10-3,3,1.233333,0.000000,0.000000,0.000000,1.233333
313_RTPV_11-3,3,2.116667,0.000000,0.000000,0.000000,2.116667
313_RTPV_12-3,3,0.766667,0.000000,0.000000,0.000000,0.766667
320_RTPV_1-3,3,0.866667,0.000000,0.000000,0.000000,0.866667
320_RTPV_2-3,3,0.908333,0.000000,0.000000,0.000000,0.908333
320_RTPV_3-3,3,1.150000,0.000000,0.000000,0.000000,1.150000
313_RTPV_13-3,3,0.883333,0.000000,0.000000,0.000000,0.883333
320_RTPV_4-3,3,0.900000,0.000000,0.000000,0.000000,0.900000
320_RTPV_5-3,3,0.558333,0.000000,0.000000,0.000000,0.558333
320_RTPV_6-3,3,0.225000,0.000000,0.000000,0.000000,0.225000
309_WIND_1-3,3,71.983333,0.000000,0.000000,0.000000,71.983333
