,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,42.315090,0.0
301,2,0.000000,0.000000,0.000000,0.000000,40.435938,0.0
301,3,0.000000,0.000000,0.000000,0.000000,40.060108,0.0
301,4,0.000000,0.000000,0.000000,0.000000,40.248023,0.0
301,5,0.000000,0.000000,0.000000,0.000000,43.408415,0.0
301,6,0.000000,0.000000,0.000000,0.000000,49.455868,0.0
301,7,0.000000,0.000000,0.000000,0.000000,53.470421,0.0
301,8,0.000000,0.000000,0.000000,0.000000,58.082885,0.0
301,9,0.000000,0.000000,0.000000,0.000000,62.490351,0.0
301,10,0.000000,0.000000,0.000000,0.000000,66.043657,0.0
301,11,12.455902,0.000000,0.000000,0.000000,68.657387,855.189684048074
301,12,23.217425,0.000000,0.000000,0.000000,70.058209,1626.571213091825
301,13,23.217425,0.000000,0.000000,0.000000,71.202784,1653.1452973111998
301,14,23.217425,0.000000,0.000000,0.000000,71.561531,1661.474478877675
301,15,23.217425,0.000000,0.000000,0.000000,71.390699,1657.508199730075
301,16,23.334982,0.000000,0.000000,0.000000,69.665296,1625.638428184672
301,17,25.908321,0.000000,0.000000,0.000000,67.000316,1735.865694029436
301,18,22.732463,0.000000,0.000000,0.000000,63.412844,1441.5301299547718
301,19,23.334982,0.000000,0.000000,0.000000,65.821575,1535.94526783665
301,20,22.085094,0.000000,0.000000,0.000000,64.403670,1422.3611058949803
301,21,21.907448,0.000000,0.000000,0.000000,60.559949,1326.713933600152
301,22,19.429035,0.000000,0.000000,0.000000,55.059159,1069.746327281565
301,23,12.455902,0.000000,0.000000,0.000000,49.421702,615.591876785204
301,24,12.455902,0.000000,0.000000,0.000000,45.014236,560.692912220872
302,1,0.000000,0.214208,0.000000,0.000000,38.005220,0.0
302,2,0.000000,0.088379,0.000000,0.000000,36.317463,0.0
302,3,0.000000,0.120509,0.000000,0.000000,35.979911,0.0
302,4,0.000000,0.039541,0.000000,0.000000,36.148687,0.0
302,5,0.000000,0.095160,0.000000,0.000000,38.987188,0.0
302,6,0.000000,0.108722,0.000000,0.000000,44.418697,0.0
302,7,0.000000,-0.012486,0.000000,0.000000,48.024359,0.0
302,8,0.000000,-0.048070,0.000000,0.000000,52.167036,0.0
302,9,0.000000,0.224849,0.000000,0.000000,56.125593,0.0
302,10,0.000000,0.273728,0.000000,0.000000,59.316988,0.0
