,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,0.000000,0.000000,0.000000,0.000000,39.416667
314_PV_1-1,1,38.325000,0.000000,0.000000,0.000000,38.325000
314_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,34.925000
313_PV_1-1,1,0.000000,0.000000,0.000000,0.000000,70.591667
314_PV_3-1,1,0.000000,0.000000,0.000000,0.000000,62.275000
314_PV_4-1,1,0.000000,0.000000,0.000000,0.000000,36.975000
313_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,67.308333
310_PV_1-1,1,39.400000,0.000000,0.000000,0.000000,39.400000
324_PV_1-1,1,34.083333,0.000000,0.000000,0.000000,34.083333
312_PV_1-1,1,71.341667,0.000000,0.000000,0.000000,71.341667
310_PV_2-1,1,36.450000,0.000000,0.000000,0.000000,36.450000
324_PV_2-1,1,41.391667,0.000000,0.000000,0.000000,41.391667
324_PV_3-1,1,37.925000,0.000000,0.000000,0.000000,37.925000
319_PV_1-1,1,150.875000,0.000000,0.000000,0.000000,150.875000
308_RTPV_1-1,1,54.875000,0.000000,0.000000,0.000000,54.875000
313_RTPV_1-1,1,0.000000,0.000000,0.000000,0.000000,60.566667
313_RTPV_2-1,1,37.083333,0.000000,0.000000,0.000000,37.083333
313_RTPV_3-1,1,0.000000,0.000000,0.000000,0.000000,31.691667
313_RTPV_4-1,1,31.750000,0.000000,0.000000,0.000000,31.750000
313_RTPV_5-1,1,0.000000,0.000000,0.000000,0.000000,35.083333
313_RTPV_6-1,1,36.033333,0.000000,0.000000,0.000000,36.033333
313_RTPV_7-1,1,36.825000,0.000000,0.000000,0.000000,36.825000
313_RTPV_8-1,1,0.000000,0.000000,0.000000,0.000000,33.575000
313_RTPV_9-1,1,0.000000,0.000000,0.000000,0.000000,31.358333
313_RTPV_10-1,1,0.000000,0.000000,0.000000,0.000000,35.216667
313_RTPV_11-1,1,36.766667,0.000000,0.000000,0.000000,36.766667
313_RTPV_12-1,1,14.066667,0.000000,0.000000,0.000000,14.066667
320_RTPV_1-1,1,0.000000,0.000000,0.000000,0.000000,14.441667
320_RTPV_2-1,1,0.000000,0.000000,0.000000,0.000000,12.291667
320_RTPV_3-1,1,0.000000,0.000000,0.000000,0.000000,17.633333
313_RTPV_13-1,1,0.000000,0.000000,0.000000,0.000000,15.166667
320_RTPV_4-1,1,0.000000,0.000000,0.000000,0.000000,15.625000
320_RTPV_5-1,1,11.933333,0.000000,0.000000,0.000000,11.933333
320_RTPV_6-1,1,0.000000,0.000000,0.000000,0.000000,5.425000
309_WIND_1-1,1,91.875000,0.000000,0.000000,0.000000,91.875000
317_WIND_1-1,1,132.208333,0.000000,0.000000,0.000000,132.208333
303_WIND_1-1,1,282.916667,0.000000,0.000000,0.000000,282.916667
320_PV_1-2,2,33.025000,0.000000,0.000000,0.000000,33.025000
314_PV_1-2,2,32.141667,0.000000,0.000000,0.000000,32.141667
314_PV_2-2,2,0.000000,0.000000,0.000000,0.000000,29.641667
313_PV_1-2,2,0.000000,0.000000,0.000000,0.000000,53.641667
314_PV_3-2,2,0.000000,0.000000,0.000000,0.000000,48.791667
314_PV_4-2,2,0.000000,0.000000,0.000000,0.000000,31.083333
313_PV_2-2,2,50.816667,0.000000,0.000000,0.000000,50.816667
310_PV_1-2,2,35.191667,0.000000,0.000000,0.000000,35.191667
324_PV_1-2,2,27.216667,0.000000,0.000000,0.000000,27.216667
312_PV_1-2,2,54.275000,0.000000,0.000000,0.000000,54.275000
310_PV_2-2,2,32.033333,0.000000,0.000000,0.000000,32.033333
324_PV_2-2,2,32.641667,0.000000,0.000000,0.000000,32.641667
324_PV_3-2,2,31.900000,0.000000,0.000000,0.000000,31.900000
319_PV_1-2,2,124.858333,0.000000,0.000000,0.000000,124.858333
308_RTPV_1-2,2,32.208333,0.000000,0.000000,0.000000,32.208333
313_RTPV_1-2,2,20.233434,0.000000,0.000000,0.000000,36.466667
313_RTPV_2-2,2,0.000000,0.000000,0.000000,0.000000,22.200000
313_RTPV_3-2,2,0.000000,0.000000,0.000000,0.000000,17.775000
313_RTPV_4-2,2,0.000000,0.000000,0.000000,0.000000,20.508333
313_RTPV_5-2,2,0.000000,0.000000,0.000000,0.000000,21.025000
313_RTPV_6-2,2,0.000000,0.000000,0.000000,0.000000,21.850000
313_RTPV_7-2,2,0.000000,0.000000,0.000000,0.000000,22.208333
313_RTPV_8-2,2,0.000000,0.000000,0.000000,0.000000,21.266667
313_RTPV_9-2,2,0.000000,0.000000,0.000000,0.000000,20.891667
313_RTPV_10-2,2,0.000000,0.000000,0.000000,0.000000,17.950000
