,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,48.072129,0.0
301,2,0.000000,0.000000,0.000000,0.000000,44.894654,0.0
301,3,0.000000,0.000000,0.000000,0.000000,43.015501,0.0
301,4,0.000000,0.000000,0.000000,0.000000,42.246757,0.0
301,5,0.000000,0.000000,0.000000,0.000000,42.810503,0.0
301,6,0.000000,0.000000,0.000000,0.000000,47.115470,0.0
301,7,0.000000,0.000000,0.000000,0.000000,53.231256,0.0
301,8,0.000000,0.000000,0.000000,0.000000,58.834546,0.0
301,9,0.000000,0.000000,0.000000,0.000000,64.198671,0.0
301,10,0.000000,0.000000,0.000000,0.000000,68.469472,0.0
301,11,0.000000,0.000000,0.000000,0.000000,71.459032,0.0
301,12,0.000000,0.000000,0.000000,0.000000,73.389434,0.0
301,13,12.455902,0.000000,0.000000,0.000000,74.516925,928.17551514135
301,14,21.907448,0.000000,0.000000,0.000000,75.012338,1643.328894093424
301,15,21.907448,0.000000,0.000000,0.000000,75.200253,1647.445632184344
301,16,21.907448,0.000000,0.000000,0.000000,74.551091,1633.2241494257678
301,17,21.184575,0.000000,0.000000,0.000000,73.645682,1560.1524737551497
301,18,21.184575,0.000000,0.000000,0.000000,74.089845,1569.5618781408748
301,19,21.184575,0.000000,0.000000,0.000000,72.757355,1541.333643799125
301,20,21.184575,0.000000,0.000000,0.000000,70.570705,1495.010392875375
301,21,20.352293,0.000000,0.000000,0.000000,67.905726,1382.037231929718
301,22,12.455902,0.000000,0.000000,0.000000,64.369503,801.7802211567059
301,23,12.455902,0.000000,0.000000,0.000000,58.868712,733.262907538224
301,24,0.000000,0.000000,0.000000,0.000000,52.616261,0.0
302,1,0.000000,0.249611,0.000000,0.000000,43.175894,0.0
302,2,0.000000,0.397291,0.000000,0.000000,40.322050,0.0
302,3,0.000000,0.223790,0.000000,0.000000,38.634293,0.0
302,4,0.000000,-0.005009,0.000000,0.000000,37.943847,0.0
302,5,0.000000,-0.062702,0.000000,0.000000,38.450174,0.0
302,6,0.000000,0.084430,0.000000,0.000000,42.316672,0.0
302,7,0.000000,0.252530,0.000000,0.000000,47.809554,0.0
302,8,0.000000,0.419615,0.000000,0.000000,52.842139,0.0
302,9,0.000000,0.428413,0.000000,0.000000,57.659918,0.0
302,10,0.000000,0.431125,0.000000,0.000000,61.495729,0.0
302,11,0.000000,0.270605,0.000000,0.000000,64.180797,0.0
302,12,0.000000,0.439974,0.000000,0.000000,65.914584,0.0
302,13,13.030724,0.444585,0.000000,0.000000,66.927238,872.110366460312
302,14,22.918446,0.609776,0.000000,0.000000,67.372192,1544.0659442536319
302,15,22.918446,0.610199,0.000000,0.000000,67.540968,1547.9340278957281
302,16,22.918446,0.559097,0.000000,0.000000,66.957925,1534.57158838455
302,17,22.162213,0.463427,0.000000,0.000000,66.144733,1465.913661574129
302,18,22.162213,0.441187,0.000000,0.000000,66.543657,1474.754700232941
302,19,22.162213,0.438796,0.000000,0.000000,65.346884,1448.2315620942923
302,20,22.162213,0.461572,0.000000,0.000000,63.382948,1404.706394143924
302,21,21.291522,0.430017,0.000000,0.000000,60.989402,1298.557194449844
302,22,13.030724,0.423615,0.000000,0.000000,57.813350,753.3498073654
302,23,13.030724,0.413644,0.000000,0.000000,52.872825,688.9711896752999
302,24,0.000000,0.402342,0.000000,0.000000,47.257197,0.0
303,1,0.000000,-15.189829,0.000000,0.000000,80.120215,0.0
303,2,0.000000,-14.662675,0.000000,0.000000,74.824423,0.0
303,3,0.000000,-10.455013,0.000000,0.000000,71.692502,0.0
303,4,0.000000,-10.089667,0.000000,0.000000,70.411262,0.0
303,5,0.000000,-7.645678,0.000000,0.000000,71.350838,0.0
303,6,0.000000,-6.245395,0.000000,0.000000,78.525783,0.0
303,7,0.000000,-11.816319,0.000000,0.000000,88.718760,0.0
303,8,0.000000,-16.412885,0.000000,0.000000,98.057577,0.0
303,9,0.000000,-17.061877,0.000000,0.000000,106.997786,0.0
303,10,0.000000,-18.085656,0.000000,0.000000,114.115786,0.0
303,11,0.000000,-19.987698,0.000000,0.000000,119.098387,0.0
303,12,0.000000,-18.588793,0.000000,0.000000,122.315723,0.0
303,13,0.000000,-18.398935,0.000000,0.000000,124.194875,0.0
303,14,0.000000,-17.041903,0.000000,0.000000,125.020563,0.0
303,15,0.000000,-17.051126,0.000000,0.000000,125.333755,0.0
303,16,0.000000,-17.511293,0.000000,0.000000,124.251819,0.0
303,17,0.000000,-18.389064,0.000000,0.000000,122.742803,0.0
303,18,0.000000,-18.665938,0.000000,0.000000,123.483075,0.0
303,19,0.000000,-18.528932,0.000000,0.000000,121.262259,0.0
303,20,0.000000,-18.032107,0.000000,0.000000,117.617842,0.0
303,21,0.000000,-18.039018,0.000000,0.000000,113.176210,0.0
303,22,0.000000,-17.682393,0.000000,0.000000,107.282506,0.0
303,23,0.000000,-17.128936,0.000000,0.000000,98.114521,0.0
303,24,0.000000,-16.496195,0.000000,0.000000,87.693768,0.0
304,1,0.000000,-1.759046,0.000000,0.000000,32.938311,0.0
304,2,0.000000,-0.314754,0.000000,0.000000,30.761152,0.0
304,3,0.000000,-1.454146,0.000000,0.000000,29.473584,0.0
304,4,0.000000,-2.638192,0.000000,0.000000,28.946852,0.0
304,5,0.000000,-2.612052,0.000000,0.000000,29.333122,0.0
304,6,0.000000,-2.145853,0.000000,0.000000,32.282822,0.0
304,7,0.000000,-1.747329,0.000000,0.000000,36.473268,0.0
304,8,0.000000,-0.954033,0.000000,0.000000,40.312559,0.0
304,9,0.000000,-1.186469,0.000000,0.000000,43.987978,0.0
304,10,0.000000,-1.652239,0.000000,0.000000,46.914268,0.0
304,11,0.000000,-2.703113,0.000000,0.000000,48.962670,0.0
304,12,0.000000,-1.814434,0.000000,0.000000,50.285353,0.0
304,13,16.972837,-1.682669,0.000000,0.000000,51.057893,866.5972954524409
304,14,29.851836,-0.851102,0.000000,0.000000,51.397343,1534.305054071748
304,15,29.851836,-0.851764,0.000000,0.000000,51.526099,1538.148657067764
304,16,29.851836,-1.142335,0.000000,0.000000,51.081303,1524.870679822308
