,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.931106,0.000000,0.000000
C1-2,24.136992,0.000000,0.000000
C1-3,27.461378,0.000000,0.000000
C1-4,48.675846,0.000000,0.000000
C1-5,48.563959,0.000000,0.000000
C1-6,48.590595,0.000000,0.000000
C1-7,48.812346,0.000000,0.000000
C1-8,28.005553,0.000000,0.000000
C1-9,38.679186,0.000000,0.000000
C1-10,50.452143,0.000000,0.000000
C1-11,50.767098,0.000000,0.000000
C1-12,50.839941,0.000000,0.000000
C1-13,50.783034,0.000000,0.000000
C1-14,50.688942,0.000000,0.000000
C1-15,50.371972,0.000000,0.000000
C1-16,50.410519,0.000000,0.000000
C1-17,51.220750,0.000000,0.000000
C1-18,52.735437,0.000000,0.000000
C1-19,59.412972,0.000000,0.000000
C1-20,74.102227,0.000000,0.000000
C1-21,59.489969,0.000000,0.000000
C1-22,52.882257,0.000000,0.000000
C1-23,22.776064,0.000000,0.000000
C1-24,12.195749,0.000000,0.000000
C2-1,-132.336116,0.000000,0.000000
C2-2,-132.053613,0.000000,0.000000
C2-3,-143.615389,0.000000,0.000000
C2-4,-124.323758,0.000000,0.000000
C2-5,-124.800439,0.000000,0.000000
C2-6,-126.459536,0.000000,0.000000
C2-7,-129.257759,0.000000,0.000000
C2-8,-145.709943,0.000000,0.000000
C2-9,-142.304974,0.000000,0.000000
C2-10,-137.485707,0.000000,0.000000
C2-11,-138.752917,0.000000,0.000000
C2-12,-138.982508,0.000000,0.000000
C2-13,-138.761434,0.000000,0.000000
C2-14,-138.476020,0.000000,0.000000
C2-15,-137.266083,0.000000,0.000000
C2-16,-137.367217,0.000000,0.000000
C2-17,-140.311718,0.000000,0.000000
C2-18,-143.471917,0.000000,0.000000
C2-19,-136.712033,0.000000,0.000000
C2-20,-122.853011,0.000000,0.000000
C2-21,-108.027970,0.000000,0.000000
C2-22,-73.037161,0.000000,0.000000
C2-23,-63.442071,0.000000,0.000000
C2-24,-39.712438,0.000000,0.000000
C3-1,34.957051,0.000000,0.000000
C3-2,12.150724,0.000000,0.000000
C3-3,21.925602,0.000000,0.000000
C3-4,32.154082,0.000000,0.000000
C3-5,32.896398,0.000000,0.000000
C3-6,33.811364,0.000000,0.000000
C3-7,34.645349,0.000000,0.000000
C3-8,21.033083,0.000000,0.000000
C3-9,26.571840,0.000000,0.000000
C3-10,33.136063,0.000000,0.000000
C3-11,32.653330,0.000000,0.000000
C3-12,32.502580,0.000000,0.000000
C3-13,32.594661,0.000000,0.000000
C3-14,32.796252,0.000000,0.000000
C3-15,33.184525,0.000000,0.000000
C3-16,33.230029,0.000000,0.000000
C3-17,31.793910,0.000000,0.000000
C3-18,27.665300,0.000000,0.000000
C3-19,28.700548,0.000000,0.000000
C3-20,36.465431,0.000000,0.000000
C3-21,22.565809,0.000000,0.000000
C3-22,11.542440,0.000000,0.000000
C3-23,-14.546901,0.000000,0.000000
C3-24,-24.023330,0.000000,0.000000
C4-1,-19.409419,0.000000,0.000000
C4-2,-27.370782,0.000000,0.000000
C4-3,-29.050315,0.000000,0.000000
C4-4,-12.941284,0.000000,0.000000
C4-5,-13.417342,0.000000,0.000000
C4-6,-14.713074,0.000000,0.000000
C4-7,-16.744941,0.000000,0.000000
C4-8,-30.242913,0.000000,0.000000
C4-9,-26.572837,0.000000,0.000000
C4-10,-21.861984,0.000000,0.000000
C4-11,-22.595899,0.000000,0.000000
C4-12,-22.715169,0.000000,0.000000
C4-13,-22.588835,0.000000,0.000000
C4-14,-22.443636,0.000000,0.000000
C4-15,-21.796868,0.000000,0.000000
C4-16,-21.803928,0.000000,0.000000
C4-17,-23.441199,0.000000,0.000000
C4-18,-24.638377,0.000000,0.000000
C4-19,-18.731447,0.000000,0.000000
C4-20,-7.342027,0.000000,0.000000
C4-21,-12.061478,0.000000,0.000000
C4-22,-9.119932,0.000000,0.000000
C4-23,-19.744222,0.000000,0.000000
C4-24,-20.855989,0.000000,0.000000
C5-1,24.827080,0.000000,0.000000
C5-2,10.403219,0.000000,0.000000
