,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.907269,0.000000,0.000000
C1-2,49.580944,0.000000,0.000000
C1-3,46.990334,0.000000,0.000000
C1-4,47.856289,0.000000,0.000000
C1-5,48.097553,0.000000,0.000000
C1-6,34.567897,0.000000,0.000000
C1-7,50.410737,0.000000,0.000000
C1-8,51.726219,0.000000,0.000000
C1-9,52.388133,0.000000,0.000000
C1-10,52.958474,0.000000,0.000000
C1-11,4.756127,0.000000,0.000000
C1-12,53.498222,0.000000,0.000000
C1-13,53.000207,0.000000,0.000000
C1-14,3.193861,0.000000,0.000000
C1-15,53.665122,0.000000,0.000000
C1-16,52.315659,0.000000,0.000000
C1-17,52.270580,0.000000,0.000000
C1-18,53.469222,0.000000,0.000000
C1-19,53.610557,0.000000,0.000000
C1-20,53.185531,0.000000,0.000000
C1-21,52.519664,0.000000,0.000000
C1-22,51.822636,0.000000,0.000000
C1-23,51.017331,0.000000,0.000000
C1-24,50.335036,0.000000,0.000000
C2-1,-125.212322,0.000000,0.000000
C2-2,-122.433206,0.000000,0.000000
C2-3,-114.221150,0.000000,0.000000
C2-4,-115.955346,0.000000,0.000000
C2-5,-116.638696,0.000000,0.000000
C2-6,-101.736648,0.000000,0.000000
C2-7,-137.321039,0.000000,0.000000
C2-8,-139.196277,0.000000,0.000000
C2-9,-140.723805,0.000000,0.000000
C2-10,-127.133933,0.000000,0.000000
C2-11,-43.815180,0.000000,0.000000
C2-12,-141.673895,0.000000,0.000000
C2-13,-143.620377,0.000000,0.000000
C2-14,-39.449001,0.000000,0.000000
C2-15,-134.762183,0.000000,0.000000
C2-16,-141.781037,0.000000,0.000000
C2-17,-141.244893,0.000000,0.000000
C2-18,-148.616608,0.000000,0.000000
C2-19,-148.887531,0.000000,0.000000
C2-20,-146.970947,0.000000,0.000000
C2-21,-144.673876,0.000000,0.000000
C2-22,-142.354209,0.000000,0.000000
C2-23,-138.081384,0.000000,0.000000
C2-24,-131.554724,0.000000,0.000000
C3-1,27.762504,0.000000,0.000000
C3-2,27.359697,0.000000,0.000000
C3-3,22.831575,0.000000,0.000000
C3-4,23.904815,0.000000,0.000000
C3-5,23.851488,0.000000,0.000000
C3-6,19.660368,0.000000,0.000000
C3-7,33.200717,0.000000,0.000000
C3-8,29.079675,0.000000,0.000000
C3-9,27.365726,0.000000,0.000000
C3-10,10.882197,0.000000,0.000000
C3-11,-24.985870,0.000000,0.000000
C3-12,23.498672,0.000000,0.000000
C3-13,26.694830,0.000000,0.000000
C3-14,-27.089372,0.000000,0.000000
C3-15,18.572543,0.000000,0.000000
C3-16,28.307517,0.000000,0.000000
C3-17,28.158116,0.000000,0.000000
C3-18,27.890821,0.000000,0.000000
C3-19,27.490831,0.000000,0.000000
C3-20,28.015091,0.000000,0.000000
C3-21,29.270947,0.000000,0.000000
C3-22,30.637869,0.000000,0.000000
C3-23,31.236151,0.000000,0.000000
C3-24,29.953001,0.000000,0.000000
C4-1,-12.578593,0.000000,0.000000
C4-2,-10.652698,0.000000,0.000000
C4-3,-9.226442,0.000000,0.000000
C4-4,-8.846960,0.000000,0.000000
C4-5,-9.037966,0.000000,0.000000
C4-6,-23.193341,0.000000,0.000000
C4-7,-21.767031,0.000000,0.000000
C4-8,-22.115697,0.000000,0.000000
C4-9,-22.755340,0.000000,0.000000
C4-10,-13.142913,0.000000,0.000000
C4-11,-40.217639,0.000000,0.000000
C4-12,-22.546891,0.000000,0.000000
C4-13,-24.526537,0.000000,0.000000
C4-14,-39.746421,0.000000,0.000000
C4-15,-16.907712,0.000000,0.000000
C4-16,-23.658676,0.000000,0.000000
C4-17,-23.271617,0.000000,0.000000
C4-18,-28.090997,0.000000,0.000000
C4-19,-28.183664,0.000000,0.000000
C4-20,-27.029102,0.000000,0.000000
C4-21,-25.781162,0.000000,0.000000
C4-22,-24.542312,0.000000,0.000000
C4-23,-21.844847,0.000000,0.000000
C4-24,-17.248966,0.000000,0.000000
C5-1,19.785609,0.000000,0.000000
C5-2,19.374578,0.000000,0.000000
C5-3,16.339680,0.000000,0.000000
C5-4,17.010272,0.000000,0.000000
C5-5,16.997588,0.000000,0.000000
C5-6,15.091671,0.000000,0.000000
C5-7,23.938603,0.000000,0.000000
C5-8,21.398701,0.000000,0.000000
C5-9,20.383429,0.000000,0.000000
C5-10,9.254661,0.000000,0.000000
C5-11,-12.548062,0.000000,0.000000
C5-12,17.955584,0.000000,0.000000
C5-13,20.112318,0.000000,0.000000
C5-14,-13.952473,0.000000,0.000000
C5-15,14.416555,0.000000,0.000000
C5-16,21.045515,0.000000,0.000000
C5-17,20.920242,0.000000,0.000000
C5-18,21.153861,0.000000,0.000000
C5-19,20.912221,0.000000,0.000000
C5-20,21.143136,0.000000,0.000000
C5-21,21.822338,0.000000,0.000000
C5-22,22.571528,0.000000,0.000000
C5-23,22.720450,0.000000,0.000000
C5-24,21.538921,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,163.557667,0.000000,0.000000
C6-4,167.593860,0.000000,0.000000
C6-5,168.166459,0.000000,0.000000
C6-6,110.985793,0.000000,0.000000
C6-7,175.000000,0.000000,36.682861
C6-8,175.000000,0.000000,0.000000
C6-9,175.000000,0.000000,0.000000
C6-10,168.238947,0.000000,0.000000
C6-11,-38.172098,0.000000,0.000000
C6-12,175.000000,0.000000,0.000000
C6-13,175.000000,0.000000,0.000000
C6-14,-44.763470,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,175.000000,0.000000,36.682861
C6-18,175.000000,0.000000,59.937878
C6-19,175.000000,0.000000,59.937878
C6-20,175.000000,0.000000,57.218865
C6-21,175.000000,0.000000,57.218865
C6-22,175.000000,0.000000,36.682861
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,36.682861
C7-1,8.952133,0.000000,0.000000
C7-2,12.385108,0.000000,0.000000
C7-3,-18.730920,0.000000,0.000000
C7-4,-10.169327,0.000000,0.000000
C7-5,-12.577568,0.000000,0.000000
C7-6,-32.609629,0.000000,0.000000
C7-7,37.880271,0.000000,0.000000
C7-8,50.931403,0.000000,0.000000
C7-9,151.835933,0.000000,0.000000
C7-10,26.677199,0.000000,0.000000
C7-11,-112.384619,0.000000,0.000000
C7-12,7.610765,0.000000,0.000000
C7-13,255.669638,0.000000,0.000000
C7-14,-126.268447,0.000000,0.000000
C7-15,24.782504,0.000000,0.000000
C7-16,87.031050,0.000000,0.000000
C7-17,34.217180,0.000000,0.000000
C7-18,72.862304,0.000000,0.000000
C7-19,68.016992,0.000000,0.000000
C7-20,53.271133,0.000000,0.000000
C7-21,59.486034,0.000000,0.000000
C7-22,59.565984,0.000000,0.000000
C7-23,52.294534,0.000000,0.000000
C7-24,44.165153,0.000000,0.000000
C8-1,-45.154043,0.000000,0.000000
C8-2,-41.823530,0.000000,0.000000
C8-3,-39.648144,0.000000,0.000000
C8-4,-39.128200,0.000000,0.000000
C8-5,-39.658656,0.000000,0.000000
C8-6,-55.745381,0.000000,0.000000
C8-7,-58.568044,0.000000,0.000000
C8-8,-62.123922,0.000000,0.000000
C8-9,-64.531044,0.000000,0.000000
C8-10,-56.510518,0.000000,0.000000
C8-11,-84.100272,0.000000,0.000000
C8-12,-66.862614,0.000000,0.000000
C8-13,-68.327233,0.000000,0.000000
C8-14,-83.149141,0.000000,0.000000
C8-15,-59.748585,0.000000,0.000000
C8-16,-65.563137,0.000000,0.000000
C8-17,-64.941974,0.000000,0.000000
C8-18,-74.174199,0.000000,0.000000
