,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,13.734339,0.000000,0.000000
C1-2,12.863400,0.000000,0.000000
C1-3,13.106804,0.000000,0.000000
C1-4,30.193450,0.000000,0.000000
C1-5,34.109340,0.000000,0.000000
C1-6,20.677388,0.000000,0.000000
C1-7,20.169101,0.000000,0.000000
C1-8,14.492619,0.000000,0.000000
C1-9,15.911798,0.000000,0.000000
C1-10,12.327111,0.000000,0.000000
C1-11,17.479906,0.000000,0.000000
C1-12,5.723461,0.000000,0.000000
C1-13,12.553862,0.000000,0.000000
C1-14,12.612383,0.000000,0.000000
C1-15,25.049072,0.000000,0.000000
C1-16,35.746203,0.000000,0.000000
C1-17,52.973773,0.000000,0.000000
C1-18,54.131775,0.000000,0.000000
C1-19,54.416566,0.000000,0.000000
C1-20,53.947631,0.000000,0.000000
C1-21,53.393548,0.000000,0.000000
C1-22,52.455382,0.000000,0.000000
C1-23,51.073752,0.000000,0.000000
C1-24,49.858620,0.000000,0.000000
C2-1,-45.536488,0.000000,0.000000
C2-2,-45.267723,0.000000,0.000000
C2-3,-48.767230,0.000000,0.000000
C2-4,-83.650149,0.000000,0.000000
C2-5,-91.529733,0.000000,0.000000
C2-6,-65.873794,0.000000,0.000000
C2-7,-64.781012,0.000000,0.000000
C2-8,-48.967499,0.000000,0.000000
C2-9,-52.748412,0.000000,0.000000
C2-10,-46.205486,0.000000,0.000000
C2-11,-61.400304,0.000000,0.000000
C2-12,-39.820135,0.000000,0.000000
C2-13,-50.012536,0.000000,0.000000
C2-14,-50.497305,0.000000,0.000000
C2-15,-74.092349,0.000000,0.000000
C2-16,-96.379673,0.000000,0.000000
C2-17,-139.469210,0.000000,0.000000
C2-18,-148.671526,0.000000,0.000000
C2-19,-151.998542,0.000000,0.000000
C2-20,-150.337158,0.000000,0.000000
C2-21,-148.008948,0.000000,0.000000
C2-22,-144.021403,0.000000,0.000000
C2-23,-139.729398,0.000000,0.000000
C2-24,-135.110834,0.000000,0.000000
C3-1,-14.715408,0.000000,0.000000
C3-2,-12.626996,0.000000,0.000000
C3-3,-8.226319,0.000000,0.000000
C3-4,9.962868,0.000000,0.000000
C3-5,13.362816,0.000000,0.000000
C3-6,-1.526150,0.000000,0.000000
C3-7,-8.243514,0.000000,0.000000
C3-8,-22.685512,0.000000,0.000000
C3-9,-23.450005,0.000000,0.000000
C3-10,-28.594893,0.000000,0.000000
C3-11,-20.261190,0.000000,0.000000
C3-12,-30.494911,0.000000,0.000000
C3-13,-26.688747,0.000000,0.000000
C3-14,-26.040419,0.000000,0.000000
C3-15,-13.959571,0.000000,0.000000
C3-16,-1.258970,0.000000,0.000000
C3-17,24.244251,0.000000,0.000000
C3-18,25.267369,0.000000,0.000000
C3-19,26.174194,0.000000,0.000000
C3-20,27.031729,0.000000,0.000000
C3-21,27.820082,0.000000,0.000000
C3-22,29.126920,0.000000,0.000000
C3-23,32.024833,0.000000,0.000000
C3-24,34.053859,0.000000,0.000000
C4-1,-20.709606,0.000000,0.000000
C4-2,-21.610524,0.000000,0.000000
C4-3,-23.249023,0.000000,0.000000
C4-4,-17.272192,0.000000,0.000000
C4-5,-16.013059,0.000000,0.000000
C4-6,-22.600583,0.000000,0.000000
C4-7,-24.511597,0.000000,0.000000
C4-8,-24.816000,0.000000,0.000000
C4-9,-25.837666,0.000000,0.000000
C4-10,-28.230500,0.000000,0.000000
C4-11,-30.153477,0.000000,0.000000
C4-12,-35.961683,0.000000,0.000000
C4-13,-30.923733,0.000000,0.000000
C4-14,-31.089189,0.000000,0.000000
C4-15,-25.327442,0.000000,0.000000
C4-16,-21.642437,0.000000,0.000000
C4-17,-21.249622,0.000000,0.000000
C4-18,-27.559473,0.000000,0.000000
C4-19,-29.956964,0.000000,0.000000
C4-20,-29.043384,0.000000,0.000000
C4-21,-27.673649,0.000000,0.000000
C4-22,-25.318300,0.000000,0.000000
C4-23,-23.105913,0.000000,0.000000
C4-24,-20.489393,0.000000,0.000000
C5-1,-7.335714,0.000000,0.000000
C5-2,-5.970872,0.000000,0.000000
C5-3,-3.060971,0.000000,0.000000
C5-4,8.401738,0.000000,0.000000
C5-5,10.552169,0.000000,0.000000
C5-6,1.314193,0.000000,0.000000
C5-7,-2.791304,0.000000,0.000000
C5-8,-12.029881,0.000000,0.000000
C5-9,-12.396850,0.000000,0.000000
C5-10,-15.552640,0.000000,0.000000
C5-11,-10.011191,0.000000,0.000000
C5-12,-16.327669,0.000000,0.000000
C5-13,-14.136293,0.000000,0.000000
C5-14,-13.712854,0.000000,0.000000
C5-15,-6.209376,0.000000,0.000000
C5-16,1.800061,0.000000,0.000000
C5-17,18.312607,0.000000,0.000000
C5-18,19.474386,0.000000,0.000000
C5-19,20.238762,0.000000,0.000000
C5-20,20.697437,0.000000,0.000000
C5-21,21.075106,0.000000,0.000000
C5-22,21.694119,0.000000,0.000000
C5-23,23.316805,0.000000,0.000000
C5-24,24.364306,0.000000,0.000000
C6-1,14.300455,0.000000,0.000000
C6-2,12.862586,0.000000,0.000000
C6-3,16.601005,0.000000,0.000000
C6-4,92.299791,0.000000,0.000000
C6-5,108.838466,0.000000,0.000000
C6-6,47.384073,0.000000,0.000000
C6-7,38.004568,0.000000,0.000000
C6-8,6.128872,0.000000,0.000000
C6-9,9.144533,0.000000,0.000000
C6-10,-8.832834,0.000000,0.000000
C6-11,13.959641,0.000000,0.000000
C6-12,-37.207733,0.000000,0.000000
C6-13,-8.286394,0.000000,0.000000
C6-14,-7.608155,0.000000,0.000000
C6-15,47.428548,0.000000,0.000000
C6-16,96.023071,0.000000,0.000000
C6-17,175.000000,0.000000,28.644698
C6-18,175.000000,0.000000,36.000001
C6-19,175.000000,0.000000,68.375744
C6-20,175.000000,0.000000,64.517839
C6-21,175.000000,0.000000,62.388963
C6-22,175.000000,0.000000,57.218865
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,0.000000
C7-1,-137.366206,0.000000,0.000000
C7-2,-133.182508,0.000000,0.000000
C7-3,-137.812810,0.000000,0.000000
C7-4,-16.139659,0.000000,0.000000
C7-5,4.802506,0.000000,0.000000
C7-6,-107.628794,0.000000,0.000000
C7-7,-182.977956,0.000000,0.000000
C7-8,-147.863692,0.000000,0.000000
C7-9,-156.117700,0.000000,0.000000
C7-10,-111.594765,0.000000,0.000000
C7-11,-119.429259,0.000000,0.000000
C7-12,-138.809396,0.000000,0.000000
C7-13,-89.438512,0.000000,0.000000
C7-14,-88.531383,0.000000,0.000000
C7-15,-38.025642,0.000000,0.000000
C7-16,-23.784110,0.000000,0.000000
C7-17,52.578813,0.000000,0.000000
C7-18,99.774504,0.000000,0.000000
C7-19,96.924046,0.000000,0.000000
C7-20,83.864110,0.000000,0.000000
C7-21,89.312431,0.000000,0.000000
C7-22,65.367668,0.000000,0.000000
C7-23,44.616452,0.000000,0.000000
C7-24,52.721832,0.000000,0.000000
C8-1,-52.582747,0.000000,0.000000
C8-2,-52.465316,0.000000,0.000000
C8-3,-53.319570,0.000000,0.000000
C8-4,-47.073521,0.000000,0.000000
C8-5,-46.200658,0.000000,0.000000
C8-6,-54.614186,0.000000,0.000000
C8-7,-60.727352,0.000000,0.000000
C8-8,-63.981454,0.000000,0.000000
C8-9,-67.145164,0.000000,0.000000
C8-10,-71.036257,0.000000,0.000000
C8-11,-74.129750,0.000000,0.000000
C8-12,-80.218880,0.000000,0.000000
C8-13,-74.876596,0.000000,0.000000
C8-14,-74.889885,0.000000,0.000000
C8-15,-68.496060,0.000000,0.000000
C8-16,-64.050220,0.000000,0.000000
C8-17,-63.903213,0.000000,0.000000
C8-18,-75.023883,0.000000,0.000000
C8-19,-78.884518,0.000000,0.000000
C8-20,-76.566320,0.000000,0.000000
C8-21,-73.440811,0.000000,0.000000
C8-22,-68.100647,0.000000,0.000000
C8-23,-61.908507,0.000000,0.000000
C8-24,-55.569748,0.000000,0.000000
C9-1,-45.296395,0.000000,0.000000
C9-2,-42.230919,0.000000,0.000000
C9-3,-37.077790,0.000000,0.000000
C9-4,-18.630299,0.000000,0.000000
C9-5,-15.600961,0.000000,0.000000
C9-6,-32.241904,0.000000,0.000000
C9-7,-42.991063,0.000000,0.000000
C9-8,-60.263177,0.000000,0.000000
C9-9,-63.082874,0.000000,0.000000
C9-10,-69.665282,0.000000,0.000000
C9-11,-62.454641,0.000000,0.000000
C9-12,-72.957897,0.000000,0.000000
C9-13,-68.859738,0.000000,0.000000
C9-14,-68.065411,0.000000,0.000000
C9-15,-55.378109,0.000000,0.000000
C9-16,-41.947518,0.000000,0.000000
C9-17,-16.680140,0.000000,0.000000
C9-18,-20.272808,0.000000,0.000000
C9-19,-20.769811,0.000000,0.000000
C9-20,-18.564602,0.000000,0.000000
C9-21,-16.091655,0.000000,0.000000
C9-22,-11.921008,0.000000,0.000000
C9-23,-5.204683,0.000000,0.000000
C9-24,0.395681,0.000000,0.000000
C10-1,-65.913379,0.000000,0.000000
C10-2,-62.676978,0.000000,0.000000
C10-3,-58.325761,0.000000,0.000000
C10-4,-46.368271,0.000000,0.000000
C10-5,-44.927743,0.000000,0.000000
C10-6,-57.521619,0.000000,0.000000
C10-7,-69.349988,0.000000,0.000000
C10-8,-84.009634,0.000000,0.000000
C10-9,-88.313332,0.000000,0.000000
C10-10,-94.222681,0.000000,0.000000
C10-11,-90.832450,0.000000,0.000000
C10-12,-97.665220,0.000000,0.000000
C10-13,-94.914528,0.000000,0.000000
C10-14,-94.211430,0.000000,0.000000
C10-15,-85.546295,0.000000,0.000000
C10-16,-76.138566,0.000000,0.000000
C10-17,-60.077776,0.000000,0.000000
C10-18,-67.757503,0.000000,0.000000
C10-19,-69.682149,0.000000,0.000000
C10-20,-66.642012,0.000000,0.000000
C10-21,-63.037517,0.000000,0.000000
C10-22,-56.932898,0.000000,0.000000
C10-23,-47.996071,0.000000,0.000000
C10-24,-40.107696,0.000000,0.000000
C11-1,-53.839766,0.000000,0.000000
C11-2,-52.119582,0.000000,0.000000
C11-3,-50.794843,0.000000,0.000000
C11-4,-50.340082,0.000000,0.000000
C11-5,-50.992566,0.000000,0.000000
C11-6,-54.077033,0.000000,0.000000
C11-7,-61.175261,0.000000,0.000000
C11-8,-66.157861,0.000000,0.000000
C11-9,-69.776178,0.000000,0.000000
C11-10,-72.307023,0.000000,0.000000
C11-11,-74.284245,0.000000,0.000000
C11-12,-74.758779,0.000000,0.000000
C11-13,-74.244701,0.000000,0.000000
C11-14,-73.987662,0.000000,0.000000
C11-15,-72.919962,0.000000,0.000000
C11-16,-71.634767,0.000000,0.000000
C11-17,-13.003394,0.000000,0.000000
C11-18,7.823632,0.000000,0.000000
C11-19,5.352104,0.000000,0.000000
C11-20,7.724771,0.000000,0.000000
C11-21,10.690604,0.000000,0.000000
C11-22,-51.889873,0.000000,0.000000
C11-23,-65.544922,0.000000,0.000000
C11-24,-59.257355,0.000000,0.000000
C12-1-1,-71.835836,0.000000,0.000000
C12-1-2,-71.501180,0.000000,0.000000
C12-1-3,-73.329832,0.000000,0.000000
C12-1-4,-77.402305,0.000000,0.000000
C12-1-5,-78.932625,0.000000,0.000000
C12-1-6,-80.068587,0.000000,0.000000
C12-1-7,-86.559805,0.000000,0.000000
C12-1-8,-78.566903,0.000000,0.000000
C12-1-9,-70.432183,0.000000,0.000000
C12-1-10,-62.697436,0.000000,0.000000
C12-1-11,-64.104236,0.000000,0.000000
C12-1-12,-61.332292,0.000000,0.000000
C12-1-13,-59.134591,0.000000,0.000000
C12-1-14,-63.024452,0.000000,0.000000
C12-1-15,-70.645269,0.000000,0.000000
C12-1-16,-85.003357,0.000000,0.000000
C12-1-17,-83.650287,0.000000,0.000000
C12-1-18,-83.984612,0.000000,0.000000
C12-1-19,-89.139217,0.000000,0.000000
C12-1-20,-86.076636,0.000000,0.000000
C12-1-21,-81.938959,0.000000,0.000000
C12-1-22,-108.679696,0.000000,0.000000
C12-1-23,-110.702163,0.000000,0.000000
C12-1-24,-102.320660,0.000000,0.000000
C13-2-1,-55.656730,0.000000,0.000000
C13-2-2,-51.917991,0.000000,0.000000
C13-2-3,-46.952358,0.000000,0.000000
C13-2-4,-41.803010,0.000000,0.000000
C13-2-5,-41.817770,0.000000,0.000000
C13-2-6,-47.985826,0.000000,0.000000
C13-2-7,-58.303213,0.000000,0.000000
C13-2-8,-64.194913,0.000000,0.000000
C13-2-9,-55.297807,0.000000,0.000000
C13-2-10,-49.125594,0.000000,0.000000
C13-2-11,-39.400858,0.000000,0.000000
C13-2-12,-38.196496,0.000000,0.000000
C13-2-13,-39.676861,0.000000,0.000000
C13-2-14,-42.678332,0.000000,0.000000
C13-2-15,-46.829201,0.000000,0.000000
C13-2-16,-54.027772,0.000000,0.000000
