,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,31.427842,0.000000,0.000000
C1-2,27.889063,0.000000,0.000000
C1-3,25.757373,0.000000,0.000000
C1-4,26.493099,0.000000,0.000000
C1-5,26.364398,0.000000,0.000000
C1-6,29.945869,0.000000,0.000000
C1-7,29.049848,0.000000,0.000000
C1-8,16.196908,0.000000,0.000000
C1-9,18.329560,0.000000,0.000000
C1-10,17.613589,0.000000,0.000000
C1-11,19.438187,0.000000,0.000000
C1-12,33.234652,0.000000,0.000000
C1-13,34.879578,0.000000,0.000000
C1-14,32.624433,0.000000,0.000000
C1-15,26.367046,0.000000,0.000000
C1-16,24.664728,0.000000,0.000000
C1-17,28.600223,0.000000,0.000000
C1-18,37.468864,0.000000,0.000000
C1-19,46.958653,0.000000,0.000000
C1-20,50.012726,0.000000,0.000000
C1-21,52.641775,0.000000,0.000000
C1-22,51.682662,0.000000,0.000000
C1-23,43.981103,0.000000,0.000000
C1-24,40.690519,0.000000,0.000000
C2-1,-84.908169,0.000000,0.000000
C2-2,-75.902202,0.000000,0.000000
C2-3,-70.823958,0.000000,0.000000
C2-4,-74.317846,0.000000,0.000000
C2-5,-74.127063,0.000000,0.000000
C2-6,-80.960342,0.000000,0.000000
C2-7,-78.084949,0.000000,0.000000
C2-8,-49.111115,0.000000,0.000000
C2-9,-56.891985,0.000000,0.000000
C2-10,-56.532403,0.000000,0.000000
C2-11,-60.860836,0.000000,0.000000
C2-12,-90.396039,0.000000,0.000000
C2-13,-91.057119,0.000000,0.000000
C2-14,-87.961389,0.000000,0.000000
C2-15,-78.164544,0.000000,0.000000
C2-16,-75.475963,0.000000,0.000000
C2-17,-90.586964,0.000000,0.000000
C2-18,-108.740284,0.000000,0.000000
C2-19,-123.784829,0.000000,0.000000
C2-20,-128.505328,0.000000,0.000000
C2-21,-132.420670,0.000000,0.000000
C2-22,-133.000129,0.000000,0.000000
C2-23,-113.772384,0.000000,0.000000
C2-24,-107.045321,0.000000,0.000000
C3-1,7.338600,0.000000,0.000000
C3-2,3.818897,0.000000,0.000000
C3-3,1.811919,0.000000,0.000000
C3-4,5.338825,0.000000,0.000000
C3-5,5.276742,0.000000,0.000000
C3-6,7.776890,0.000000,0.000000
C3-7,4.311280,0.000000,0.000000
C3-8,-13.039605,0.000000,0.000000
C3-9,-11.371773,0.000000,0.000000
C3-10,-15.269101,0.000000,0.000000
C3-11,-15.737744,0.000000,0.000000
C3-12,0.035161,0.000000,0.000000
C3-13,-0.009108,0.000000,0.000000
C3-14,0.619462,0.000000,0.000000
C3-15,-1.604590,0.000000,0.000000
C3-16,-1.702527,0.000000,0.000000
C3-17,8.652985,0.000000,0.000000
C3-18,11.514380,0.000000,0.000000
C3-19,14.865404,0.000000,0.000000
C3-20,18.188900,0.000000,0.000000
C3-21,21.234763,0.000000,0.000000
C3-22,25.438315,0.000000,0.000000
C3-23,17.585017,0.000000,0.000000
C3-24,17.479763,0.000000,0.000000
C4-1,-16.751704,0.000000,0.000000
C4-2,-16.184451,0.000000,0.000000
C4-3,-16.147438,0.000000,0.000000
C4-4,-17.034614,0.000000,0.000000
C4-5,-17.127985,0.000000,0.000000
C4-6,-15.789358,0.000000,0.000000
C4-7,-15.811456,0.000000,0.000000
C4-8,-18.708092,0.000000,0.000000
C4-9,-21.471198,0.000000,0.000000
C4-10,-23.701110,0.000000,0.000000
C4-11,-24.347610,0.000000,0.000000
C4-12,-20.539883,0.000000,0.000000
C4-13,-17.859360,0.000000,0.000000
C4-14,-19.239472,0.000000,0.000000
C4-15,-23.042301,0.000000,0.000000
C4-16,-23.907418,0.000000,0.000000
C4-17,-27.633127,0.000000,0.000000
C4-18,-26.480838,0.000000,0.000000
C4-19,-20.901788,0.000000,0.000000
C4-20,-18.338806,0.000000,0.000000
C4-21,-15.934782,0.000000,0.000000
C4-22,-17.228042,0.000000,0.000000
C4-23,-16.411642,0.000000,0.000000
C4-24,-16.570726,0.000000,0.000000
C5-1,6.737438,0.000000,0.000000
C5-2,4.380538,0.000000,0.000000
C5-3,3.055713,0.000000,0.000000
C5-4,5.369060,0.000000,0.000000
C5-5,5.333730,0.000000,0.000000
C5-6,6.901472,0.000000,0.000000
C5-7,4.692686,0.000000,0.000000
C5-8,-6.368332,0.000000,0.000000
C5-9,-5.047550,0.000000,0.000000
C5-10,-7.354076,0.000000,0.000000
C5-11,-7.552703,0.000000,0.000000
C5-12,2.466720,0.000000,0.000000
C5-13,2.275002,0.000000,0.000000
C5-14,2.719489,0.000000,0.000000
C5-15,1.446360,0.000000,0.000000
C5-16,1.407009,0.000000,0.000000
C5-17,8.331737,0.000000,0.000000
C5-18,10.279028,0.000000,0.000000
C5-19,12.210488,0.000000,0.000000
C5-20,14.189875,0.000000,0.000000
C5-21,15.995254,0.000000,0.000000
C5-22,18.722947,0.000000,0.000000
C5-23,13.503786,0.000000,0.000000
C5-24,13.364219,0.000000,0.000000
C6-1,94.100375,0.000000,0.000000
C6-2,79.982810,0.000000,0.000000
C6-3,71.362225,0.000000,0.000000
C6-4,76.381999,0.000000,0.000000
C6-5,75.847328,0.000000,0.000000
C6-6,90.533231,0.000000,0.000000
C6-7,84.396548,0.000000,0.000000
C6-8,25.151245,0.000000,0.000000
C6-9,31.451278,0.000000,0.000000
C6-10,23.853614,0.000000,0.000000
C6-11,28.708116,0.000000,0.000000
