,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,15.731579,0.000000,0.000000,0.000000,46.295476,728.3009380366041
301,2,15.731579,0.000000,0.000000,0.000000,44.330908,697.395181343732
301,3,15.731579,0.000000,0.000000,0.000000,43.579247,685.570366941013
301,4,15.731579,0.000000,0.000000,0.000000,43.254666,680.464195297614
301,5,15.072312,0.000000,0.000000,0.000000,43.750079,659.414840712648
301,6,15.731579,0.000000,0.000000,0.000000,46.756723,735.557081655617
301,7,15.731579,0.000000,0.000000,0.000000,53.367922,839.561681008838
301,8,0.000000,0.000000,0.000000,0.000000,57.809554,0.0
301,9,0.000000,0.000000,0.000000,0.000000,61.345777,0.0
301,10,0.000000,0.000000,0.000000,0.000000,62.934514,0.0
301,11,0.000000,0.000000,0.000000,0.000000,64.933249,0.0
301,12,0.000000,0.000000,0.000000,0.000000,64.830750,0.0
301,13,0.000000,0.000000,0.000000,0.000000,65.069915,0.0
301,14,0.000000,0.000000,0.000000,0.000000,64.267004,0.0
301,15,0.000000,0.000000,0.000000,0.000000,63.976590,0.0
301,16,15.731579,0.000000,0.000000,0.000000,62.712433,986.5655940217069
301,17,26.086872,0.000000,0.000000,0.000000,62.370769,1627.058267444568
301,18,28.469999,0.000000,0.000000,0.000000,71.356533,2031.5204231534672
301,19,27.894691,0.000000,0.000000,0.000000,72.740272,2029.0674106959523
301,20,26.845141,0.000000,0.000000,0.000000,68.999051,1852.2892529611909
301,21,26.845141,0.000000,0.000000,0.000000,65.565327,1760.110448026107
301,22,26.429209,0.000000,0.000000,0.000000,61.431193,1623.577838916337
301,23,25.908321,0.000000,0.000000,0.000000,55.366656,1434.457096344576
301,24,22.732463,0.000000,0.000000,0.000000,50.036697,1137.457363194711
302,1,15.731579,0.302103,0.000000,0.000000,41.580196,654.122138209484
302,2,15.731579,0.238933,0.000000,0.000000,39.815723,626.364191816617
302,3,15.731579,0.217528,0.000000,0.000000,39.140620,615.74375563898
302,4,15.731579,0.195297,0.000000,0.000000,38.849098,611.1576542657419
302,5,15.101857,0.176181,0.000000,0.000000,39.294053,593.413169356421
302,6,15.731579,0.241340,0.000000,0.000000,41.994464,660.639227978656
302,7,15.731579,0.381118,0.000000,0.000000,47.932300,754.0507641017
302,8,0.000000,0.115694,0.000000,0.000000,51.921544,0.0
302,9,0.000000,0.422536,0.000000,0.000000,55.097596,0.0
302,10,0.000000,0.210951,0.000000,0.000000,56.524518,0.0
302,11,0.000000,0.437379,0.000000,0.000000,58.319677,0.0
302,12,0.000000,0.427542,0.000000,0.000000,58.227618,0.0
302,13,0.000000,0.435101,0.000000,0.000000,58.442423,0.0
302,14,0.000000,0.430151,0.000000,0.000000,57.721291,0.0
302,15,0.000000,0.243350,0.000000,0.000000,57.460456,0.0
302,16,15.731579,0.129591,0.000000,0.000000,56.325055,886.082052411845
302,17,26.097774,0.368876,0.000000,0.000000,56.018190,1461.95006250906
302,18,28.472945,0.347217,0.000000,0.000000,64.088738,1824.7951121934102
302,19,27.894691,0.183542,0.000000,0.000000,65.331541,1822.4031487488312
302,20,26.845141,0.188354,0.000000,0.000000,61.971370,1663.6301656131702
302,21,26.845141,0.203338,0.000000,0.000000,58.887377,1580.8399386851572
302,22,26.429209,0.236107,0.000000,0.000000,55.174312,1458.213423279208
302,23,25.908321,0.337816,0.000000,0.000000,49.727460,1288.35499619466
302,24,22.732463,0.351721,0.000000,0.000000,44.940367,1021.605230033921
303,1,15.731579,-12.749794,0.000000,0.000000,77.159127,1213.8349019715329
303,2,15.731579,-10.815860,0.000000,0.000000,73.884847,1162.3253074834129
303,3,15.731579,-10.305109,0.000000,0.000000,72.632078,1142.617272991162
303,4,15.731579,-9.576511,0.000000,0.000000,72.091110,1134.10699216269
303,5,14.142374,-9.010150,0.000000,0.000000,72.916798,1031.216628198452
303,6,15.731579,-11.193791,0.000000,0.000000,77.927871,1225.928458938309
303,7,15.731579,-15.874545,0.000000,0.000000,88.946536,1399.269457860344
303,8,0.000000,-7.451332,0.000000,0.000000,96.349257,0.0
303,9,0.000000,-16.858166,0.000000,0.000000,102.242961,0.0
303,10,0.000000,-10.543715,0.000000,0.000000,104.890857,0.0
303,11,0.000000,-16.233910,0.000000,0.000000,108.222082,0.0
303,12,0.000000,-17.363667,0.000000,0.000000,108.051250,0.0
303,13,0.000000,-16.546006,0.000000,0.000000,108.449858,0.0
