,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Bus_1-1,950.00,520.00,950.00,1300.00,0,0,950.00,800.00,0,1050.00,900.00,0,900.00,400.00,650.00,1050.00,0,0,0,900.00,1200.00,0,1100.00,500.00
Bus_1-2,950.00,700.00,950.00,1300.00,0,0,950.00,800.00,0,1050.00,900.00,0,900.00,400.00,650.00,1050.00,0,0,0,900.00,1200.00,0,1100.00,500.00
Bus_5-1,700.00,0,0,700.00,0,0,0,1100.00,0,950.00,550.00,0,650.00,0,0,0,650.00,1100.00,1200.00,0,0,1050.00,0,650.00
Bus_5-2,700.00,0,0,700.00,480.00,0,0,1100.00,520.00,950.00,550.00,0,650.00,0,0,0,650.00,1100.00,1200.00,0,0,1050.00,0,650.00
Bus_8-1,0,0,0,950.00,0,500.00,0,0,0,500.00,800.00,0,0,0,1050.00,1150.00,580.00,0,950.00,0,800.00,1100.00,1200.00,0
Bus_8-2,0,0,0,950.00,0,500.00,0,0,0,500.00,800.00,0,0,0,1050.00,1150.00,0,0,950.00,240.00,0,1100.00,1200.00,0
Bus_13-1,0,800.00,1100.00,0,1200.00,1300.00,850.00,0,550.00,250.00,0,1050.00,0,550.00,0,0,0,900.00,0,0,900.00,0,1050.00,0
Bus_13-2,0,800.00,1100.00,0,1200.00,1300.00,330.00,0,550.00,550.00,0,1050.00,0,550.00,0,0,0,900.00,0,0,900.00,540.00,1050.00,200.00
Bus_21-1,350.00,1050.00,1050.00,900.00,700.00,550.00,700.00,0,800.00,700.00,130.00,700.00,950.00,650.00,320.00,0,1100.00,0,850.00,1300.00,1050.00,0,550.00,950.00
Bus_21-2,650.00,1050.00,1050.00,140.00,700.00,550.00,700.00,0,800.00,700.00,950.00,0,950.00,650.00,0,0,1100.00,0,850.00,1300.00,1050.00,0,550.00,950.00
Bus_23-1,900.00,0,550.00,500.00,650.00,700.00,650.00,0,700.00,0,0,0,700.00,1300.00,0,950.00,950.00,1000.00,320.00,0,0,800.00,0,0
Bus_23-2,900.00,0,550.00,500.00,650.00,700.00,650.00,180.00,700.00,0,0,0,700.00,1300.00,0,950.00,950.00,1000.00,0,0,0,800.00,0,0
Bus_27-1,0,0,0,0,0,0,1350.00,0,1100.00,0,650.00,1100.00,0,850.00,950.00,0,0,900.00,700.00,1200.00,700.00,950.00,650.00,500.00
Bus_27-2,0,0,0,0,0,0,1350.00,0,1100.00,0,650.00,1100.00,0,850.00,950.00,0,0,140.00,700.00,1200.00,700.00,950.00,30.00,500.00
Bus_28-1,550.00,900.00,0,700.00,650.00,460.00,0,650.00,750.00,0,0,900.00,550.00,700.00,550.00,100.00,850.00,800.00,1100.00,0,950.00,550.00,0,900.00
Bus_28-2,550.00,900.00,0,700.00,650.00,800.00,0,650.00,750.00,0,0,900.00,550.00,700.00,550.00,800.00,850.00,800.00,1100.00,0,950.00,550.00,0,900.00
