,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.372136,0.000000,0.000000
C1-2,42.321999,0.000000,0.000000
C1-3,47.969564,0.000000,0.000000
C1-4,47.947219,0.000000,0.000000
C1-5,48.180638,0.000000,0.000000
C1-6,48.906143,0.000000,0.000000
C1-7,50.078385,0.000000,0.000000
C1-8,51.292428,0.000000,0.000000
C1-9,41.772455,0.000000,0.000000
C1-10,50.182441,0.000000,0.000000
C1-11,52.953223,0.000000,0.000000
C1-12,53.153837,0.000000,0.000000
C1-13,9.596045,0.000000,0.000000
C1-14,53.435446,0.000000,0.000000
C1-15,53.270178,0.000000,0.000000
C1-16,52.901325,0.000000,0.000000
C1-17,52.615708,0.000000,0.000000
C1-18,54.342148,0.000000,0.000000
C1-19,54.585049,0.000000,0.000000
C1-20,53.677835,0.000000,0.000000
C1-21,53.021229,0.000000,0.000000
C1-22,52.055105,0.000000,0.000000
C1-23,48.377869,0.000000,0.000000
C1-24,49.560701,0.000000,0.000000
C2-1,-130.084095,0.000000,0.000000
C2-2,-104.125152,0.000000,0.000000
C2-3,-128.436251,0.000000,0.000000
C2-4,-128.122178,0.000000,0.000000
C2-5,-127.182168,0.000000,0.000000
C2-6,-128.522612,0.000000,0.000000
C2-7,-135.700979,0.000000,0.000000
C2-8,-135.969724,0.000000,0.000000
C2-9,-118.859737,0.000000,0.000000
C2-10,-137.186469,0.000000,0.000000
C2-11,-143.454946,0.000000,0.000000
C2-12,-144.150715,0.000000,0.000000
C2-13,-53.345864,0.000000,0.000000
C2-14,-141.543289,0.000000,0.000000
C2-15,-141.371004,0.000000,0.000000
C2-16,-140.793072,0.000000,0.000000
C2-17,-143.031653,0.000000,0.000000
C2-18,-140.307262,0.000000,0.000000
C2-19,-145.029952,0.000000,0.000000
C2-20,-147.826550,0.000000,0.000000
C2-21,-145.723738,0.000000,0.000000
C2-22,-141.199276,0.000000,0.000000
C2-23,-133.217903,0.000000,0.000000
C2-24,-134.332726,0.000000,0.000000
C3-1,36.919805,0.000000,0.000000
C3-2,18.360572,0.000000,0.000000
C3-3,37.519518,0.000000,0.000000
C3-4,37.415705,0.000000,0.000000
C3-5,35.900612,0.000000,0.000000
C3-6,33.816406,0.000000,0.000000
C3-7,33.535913,0.000000,0.000000
C3-8,28.832311,0.000000,0.000000
C3-9,17.688991,0.000000,0.000000
C3-10,25.111589,0.000000,0.000000
C3-11,26.781381,0.000000,0.000000
C3-12,26.405293,0.000000,0.000000
C3-13,-21.217596,0.000000,0.000000
C3-14,23.670006,0.000000,0.000000
C3-15,24.226735,0.000000,0.000000
C3-16,25.350147,0.000000,0.000000
C3-17,27.874344,0.000000,0.000000
C3-18,19.272295,0.000000,0.000000
C3-19,21.206687,0.000000,0.000000
C3-20,26.567571,0.000000,0.000000
C3-21,27.905926,0.000000,0.000000
C3-22,28.994219,0.000000,0.000000
C3-23,30.139623,0.000000,0.000000
C3-24,34.769494,0.000000,0.000000
C4-1,-17.783975,0.000000,0.000000
C4-2,-10.164930,0.000000,0.000000
C4-3,-16.823547,0.000000,0.000000
C4-4,-16.593281,0.000000,0.000000
C4-5,-15.643407,0.000000,0.000000
C4-6,-16.079128,0.000000,0.000000
C4-7,-20.767730,0.000000,0.000000
C4-8,-19.927418,0.000000,0.000000
C4-9,-25.812171,0.000000,0.000000
C4-10,-24.439398,0.000000,0.000000
C4-11,-24.435820,0.000000,0.000000
C4-12,-24.814745,0.000000,0.000000
C4-13,-38.584303,0.000000,0.000000
C4-14,-22.497566,0.000000,0.000000
C4-15,-22.504087,0.000000,0.000000
C4-16,-22.364886,0.000000,0.000000
C4-17,-24.392340,0.000000,0.000000
C4-18,-20.727885,0.000000,0.000000
C4-19,-24.271197,0.000000,0.000000
C4-20,-27.281859,0.000000,0.000000
C4-21,-26.180300,0.000000,0.000000
C4-22,-23.422414,0.000000,0.000000
C4-23,-22.783403,0.000000,0.000000
C4-24,-20.129488,0.000000,0.000000
C5-1,25.926120,0.000000,0.000000
C5-2,13.469055,0.000000,0.000000
C5-3,26.220191,0.000000,0.000000
C5-4,26.136356,0.000000,0.000000
C5-5,25.113036,0.000000,0.000000
C5-6,23.850028,0.000000,0.000000
C5-7,24.064559,0.000000,0.000000
C5-8,21.062775,0.000000,0.000000
C5-9,14.236161,0.000000,0.000000
C5-10,19.033260,0.000000,0.000000
C5-11,20.158736,0.000000,0.000000
C5-12,19.955770,0.000000,0.000000
C5-13,-10.170016,0.000000,0.000000
C5-14,18.058289,0.000000,0.000000
C5-15,18.405869,0.000000,0.000000
C5-16,19.094588,0.000000,0.000000
C5-17,20.836425,0.000000,0.000000
C5-18,15.170002,0.000000,0.000000
C5-19,16.670071,0.000000,0.000000
C5-20,20.261813,0.000000,0.000000
C5-21,21.004597,0.000000,0.000000
C5-22,21.453951,0.000000,0.000000
C5-23,22.032199,0.000000,0.000000
C5-24,24.780509,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,143.858237,0.000000,0.000000
C6-3,175.000000,0.000000,0.000000
C6-4,175.000000,0.000000,0.000000
C6-5,175.000000,0.000000,0.000000
C6-6,175.000000,0.000000,0.000000
C6-7,175.000000,0.000000,0.000000
C6-8,175.000000,0.000000,0.000000
C6-9,129.991001,0.000000,0.000000
C6-10,164.646965,0.000000,0.000000
C6-11,175.000000,0.000000,0.000000
C6-12,175.000000,0.000000,0.000000
C6-13,-18.085562,0.000000,0.000000
C6-14,175.000000,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,175.000000,0.000000,36.682861
C6-18,175.000000,0.000000,53.841686
C6-19,175.000000,0.000000,64.517839
C6-20,175.000000,0.000000,57.218865
C6-21,175.000000,0.000000,36.682861
C6-22,175.000000,0.000000,33.871519
C6-23,164.919251,0.000000,0.000000
C6-24,175.000000,0.000000,0.000000
C7-1,98.158360,0.000000,0.000000
C7-2,-46.064933,0.000000,0.000000
C7-3,109.276338,0.000000,0.000000
C7-4,108.976715,0.000000,0.000000
C7-5,94.724656,0.000000,0.000000
C7-6,67.978746,0.000000,0.000000
C7-7,45.405604,0.000000,0.000000
C7-8,77.460080,0.000000,0.000000
C7-9,-5.492972,0.000000,0.000000
C7-10,55.085200,0.000000,0.000000
C7-11,58.751456,0.000000,0.000000
C7-12,88.823809,0.000000,0.000000
C7-13,-143.539328,0.000000,0.000000
C7-14,137.362433,0.000000,0.000000
C7-15,50.210118,0.000000,0.000000
C7-16,50.569084,0.000000,0.000000
C7-17,18.089599,0.000000,0.000000
C7-18,23.970275,0.000000,0.000000
C7-19,34.467418,0.000000,0.000000
C7-20,44.112328,0.000000,0.000000
C7-21,31.776053,0.000000,0.000000
C7-22,15.646181,0.000000,0.000000
C7-23,10.067814,0.000000,0.000000
C7-24,62.794420,0.000000,0.000000
C8-1,-48.474895,0.000000,0.000000
C8-2,-39.931143,0.000000,0.000000
C8-3,-46.250311,0.000000,0.000000
C8-4,-45.891288,0.000000,0.000000
C8-5,-45.175517,0.000000,0.000000
C8-6,-47.460653,0.000000,0.000000
C8-7,-56.456753,0.000000,0.000000
C8-8,-58.191575,0.000000,0.000000
C8-9,-66.511001,0.000000,0.000000
C8-10,-66.847181,0.000000,0.000000
C8-11,-68.096054,0.000000,0.000000
C8-12,-69.071942,0.000000,0.000000
C8-13,-83.099013,0.000000,0.000000
C8-14,-66.649417,0.000000,0.000000
C8-15,-66.269667,0.000000,0.000000
C8-16,-65.217464,0.000000,0.000000
C8-17,-67.244918,0.000000,0.000000
