,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.766697,0.000000,0.000000
C1-2,48.470132,0.000000,0.000000
C1-3,48.406447,0.000000,0.000000
C1-4,48.336506,0.000000,0.000000
C1-5,48.412109,0.000000,0.000000
C1-6,43.649382,0.000000,0.000000
C1-7,50.171890,0.000000,0.000000
C1-8,51.328500,0.000000,0.000000
C1-9,52.270788,0.000000,0.000000
C1-10,52.849892,0.000000,0.000000
C1-11,52.843165,0.000000,0.000000
C1-12,52.945969,0.000000,0.000000
C1-13,52.848562,0.000000,0.000000
C1-14,52.757225,0.000000,0.000000
C1-15,52.532726,0.000000,0.000000
C1-16,52.277101,0.000000,0.000000
C1-17,52.160323,0.000000,0.000000
C1-18,53.199526,0.000000,0.000000
C1-19,53.418953,0.000000,0.000000
C1-20,52.856532,0.000000,0.000000
C1-21,52.330945,0.000000,0.000000
C1-22,51.713888,0.000000,0.000000
C1-23,50.769821,0.000000,0.000000
C1-24,49.577425,0.000000,0.000000
C2-1,-131.349995,0.000000,0.000000
C2-2,-128.915768,0.000000,0.000000
C2-3,-128.036252,0.000000,0.000000
C2-4,-127.294713,0.000000,0.000000
C2-5,-127.191364,0.000000,0.000000
C2-6,-119.665089,0.000000,0.000000
C2-7,-135.724153,0.000000,0.000000
C2-8,-135.331222,0.000000,0.000000
C2-9,-136.929382,0.000000,0.000000
C2-10,-138.616761,0.000000,0.000000
C2-11,-142.538635,0.000000,0.000000
C2-12,-142.933654,0.000000,0.000000
C2-13,-142.674222,0.000000,0.000000
C2-14,-142.500639,0.000000,0.000000
C2-15,-141.858653,0.000000,0.000000
C2-16,-141.282732,0.000000,0.000000
C2-17,-141.575378,0.000000,0.000000
C2-18,-146.416527,0.000000,0.000000
C2-19,-148.565873,0.000000,0.000000
C2-20,-146.436431,0.000000,0.000000
C2-21,-144.463031,0.000000,0.000000
C2-22,-140.271327,0.000000,0.000000
C2-23,-136.241088,0.000000,0.000000
C2-24,-133.579029,0.000000,0.000000
C3-1,36.116990,0.000000,0.000000
C3-2,35.807229,0.000000,0.000000
C3-3,35.520979,0.000000,0.000000
C3-4,35.344793,0.000000,0.000000
C3-5,34.977927,0.000000,0.000000
C3-6,29.720231,0.000000,0.000000
C3-7,33.175167,0.000000,0.000000
C3-8,28.294402,0.000000,0.000000
C3-9,25.499467,0.000000,0.000000
C3-10,24.216094,0.000000,0.000000
C3-11,26.658457,0.000000,0.000000
C3-12,26.489425,0.000000,0.000000
C3-13,26.720313,0.000000,0.000000
C3-14,26.979732,0.000000,0.000000
C3-15,27.484738,0.000000,0.000000
C3-16,28.155268,0.000000,0.000000
C3-17,28.803856,0.000000,0.000000
C3-18,27.617507,0.000000,0.000000
C3-19,28.061188,0.000000,0.000000
C3-20,29.005397,0.000000,0.000000
C3-21,29.897983,0.000000,0.000000
C3-22,29.791226,0.000000,0.000000
C3-23,31.095436,0.000000,0.000000
C3-24,34.238238,0.000000,0.000000
C4-1,-18.447740,0.000000,0.000000
C4-2,-16.770169,0.000000,0.000000
C4-3,-16.126308,0.000000,0.000000
C4-4,-15.597558,0.000000,0.000000
C4-5,-15.449771,0.000000,0.000000
C4-6,-19.307921,0.000000,0.000000
C4-7,-20.704977,0.000000,0.000000
C4-8,-19.388542,0.000000,0.000000
C4-9,-19.840931,0.000000,0.000000
C4-10,-20.679534,0.000000,0.000000
C4-11,-23.802967,0.000000,0.000000
C4-12,-24.027730,0.000000,0.000000
C4-13,-23.906063,0.000000,0.000000
C4-14,-23.847370,0.000000,0.000000
C4-15,-23.531934,0.000000,0.000000
C4-16,-23.296035,0.000000,0.000000
C4-17,-23.630044,0.000000,0.000000
C4-18,-26.576230,0.000000,0.000000
C4-19,-28.094307,0.000000,0.000000
C4-20,-26.889815,0.000000,0.000000
C4-21,-25.777388,0.000000,0.000000
C4-22,-22.980985,0.000000,0.000000
C4-23,-20.596821,0.000000,0.000000
C4-24,-19.515838,0.000000,0.000000
C5-1,25.480808,0.000000,0.000000
C5-2,25.148400,0.000000,0.000000
C5-3,24.916495,0.000000,0.000000
