timepoint,Gen_Index,available,Capacity,Fuel_Cost
1,301_CT_1,1,20.0,105.36724140000001
1,301_CT_2,1,20.0,105.36724140000001
1,301_CT_3,1,55.0,43.74288666
1,301_CT_4,1,55.0,43.74288666
1,302_CT_1,1,20.0,105.36724140000001
1,302_CT_2,1,20.0,105.36724140000001
1,302_CT_3,1,55.0,38.63507958
1,302_CT_4,1,55.0,38.63507958
1,307_CT_1,1,55.0,35.47476972
1,307_CT_2,1,55.0,35.47476972
1,313_CC_1,1,355.0,33.75273126
1,315_STEAM_1,1,12.0,124.0996554
1,315_STEAM_2,1,12.0,124.0996554
1,315_STEAM_3,1,12.0,124.0996554
1,315_STEAM_4,1,12.0,124.0996554
1,315_STEAM_5,1,12.0,124.0996554
1,315_CT_6,1,55.0,31.8557679
1,315_CT_7,1,55.0,31.8557679
1,315_CT_8,1,55.0,31.8557679
1,316_STEAM_1,1,155.0,27.274698980000004
1,318_CC_1,1,355.0,31.52924142
1,321_CC_1,1,355.0,33.94709226
1,322_CT_5,1,55.0,27.89469072
1,322_CT_6,1,55.0,27.89469072
1,323_CC_1,1,355.0,31.727489639999995
1,323_CC_2,1,355.0,31.727489639999995
1,322_HYDRO_1,1,32.112500000000004,0.0
1,322_HYDRO_2,1,32.112500000000004,0.0
1,322_HYDRO_3,1,32.112500000000004,0.0
1,322_HYDRO_4,1,32.112500000000004,0.0
1,320_PV_1,1,0.0,0.0
1,314_PV_1,1,0.0,0.0
1,314_PV_2,1,0.0,0.0
1,313_PV_1,1,0.0,0.0
1,314_PV_3,1,0.0,0.0
1,314_PV_4,1,0.0,0.0
1,313_PV_2,1,0.0,0.0
1,310_PV_1,1,0.0,0.0
1,324_PV_1,1,0.0,0.0
1,312_PV_1,1,0.0,0.0
1,310_PV_2,1,0.0,0.0
1,324_PV_2,1,0.0,0.0
1,324_PV_3,1,0.0,0.0
1,319_PV_1,1,0.0,0.0
1,308_RTPV_1,1,0.0,0.0
1,313_RTPV_1,1,0.0,0.0
1,313_RTPV_2,1,0.0,0.0
1,313_RTPV_3,1,0.0,0.0
1,313_RTPV_4,1,0.0,0.0
1,313_RTPV_5,1,0.0,0.0
1,313_RTPV_6,1,0.0,0.0
1,313_RTPV_7,1,0.0,0.0
1,313_RTPV_8,1,0.0,0.0
1,313_RTPV_9,1,0.0,0.0
1,313_RTPV_10,1,0.0,0.0
1,313_RTPV_11,1,0.0,0.0
1,313_RTPV_12,1,0.0,0.0
1,320_RTPV_1,1,0.0,0.0
1,320_RTPV_2,1,0.0,0.0
1,320_RTPV_3,1,0.0,0.0
1,313_RTPV_13,1,0.0,0.0
1,320_RTPV_4,1,0.0,0.0
1,320_RTPV_5,1,0.0,0.0
1,320_RTPV_6,1,0.0,0.0
1,309_WIND_1,1,70.29166666666667,0.0
1,317_WIND_1,1,587.5166666666667,0.0
1,303_WIND_1,1,725.5083333333332,0.0
2,301_CT_1,1,20.0,105.36724140000001
2,301_CT_2,1,20.0,105.36724140000001
2,301_CT_3,1,55.0,43.74288666
2,301_CT_4,1,55.0,43.74288666
2,302_CT_1,1,20.0,105.36724140000001
2,302_CT_2,1,20.0,105.36724140000001
2,302_CT_3,1,55.0,38.63507958
2,302_CT_4,1,55.0,38.63507958
2,307_CT_1,1,55.0,35.47476972
2,307_CT_2,1,55.0,35.47476972
2,313_CC_1,1,355.0,33.75273126
2,315_STEAM_1,1,12.0,124.0996554
2,315_STEAM_2,1,12.0,124.0996554
2,315_STEAM_3,1,12.0,124.0996554
2,315_STEAM_4,1,12.0,124.0996554
2,315_STEAM_5,1,12.0,124.0996554
2,315_CT_6,1,55.0,31.8557679
2,315_CT_7,1,55.0,31.8557679
2,315_CT_8,1,55.0,31.8557679
2,316_STEAM_1,1,155.0,27.274698980000004
2,318_CC_1,1,355.0,31.52924142
2,321_CC_1,1,355.0,33.94709226
2,322_CT_5,1,55.0,27.89469072
2,322_CT_6,1,55.0,27.89469072
2,323_CC_1,1,355.0,31.727489639999995
2,323_CC_2,1,355.0,31.727489639999995
2,322_HYDRO_1,1,44.125,0.0
2,322_HYDRO_2,1,44.125,0.0
2,322_HYDRO_3,1,44.125,0.0
2,322_HYDRO_4,1,44.125,0.0
2,320_PV_1,1,8.208333333333334,0.0
2,314_PV_1,1,8.191666666666665,0.0
2,314_PV_2,1,8.825,0.0
2,313_PV_1,1,10.016666666666667,0.0
2,314_PV_3,1,11.291666666666666,0.0
2,314_PV_4,1,7.6833333333333345,0.0
2,313_PV_2,1,9.75,0.0
2,310_PV_1,1,7.275000000000001,0.0
2,324_PV_1,1,7.824999999999999,0.0
2,312_PV_1,1,9.816666666666666,0.0
2,310_PV_2,1,7.724999999999999,0.0
2,324_PV_2,1,7.375,0.0
2,324_PV_3,1,6.875,0.0
2,319_PV_1,1,30.358333333333334,0.0
2,308_RTPV_1,1,1.4166666666666667,0.0
2,313_RTPV_1,1,2.033333333333333,0.0
2,313_RTPV_2,1,1.3166666666666667,0.0
2,313_RTPV_3,1,0.9583333333333334,0.0
2,313_RTPV_4,1,0.8916666666666666,0.0
2,313_RTPV_5,1,1.2750000000000001,0.0
2,313_RTPV_6,1,0.8166666666666668,0.0
2,313_RTPV_7,1,1.4166666666666667,0.0
2,313_RTPV_8,1,1.3083333333333333,0.0
2,313_RTPV_9,1,1.8499999999999999,0.0
2,313_RTPV_10,1,1.2666666666666666,0.0
2,313_RTPV_11,1,1.5416666666666667,0.0
2,313_RTPV_12,1,0.8583333333333334,0.0
2,320_RTPV_1,1,0.8416666666666668,0.0
2,320_RTPV_2,1,0.8666666666666666,0.0
2,320_RTPV_3,1,0.9750000000000001,0.0
2,313_RTPV_13,1,0.725,0.0
2,320_RTPV_4,1,0.8000000000000002,0.0
2,320_RTPV_5,1,0.6583333333333333,0.0
2,320_RTPV_6,1,0.3666666666666667,0.0
2,309_WIND_1,1,74.32500000000002,0.0
2,317_WIND_1,1,563.5416666666666,0.0
2,303_WIND_1,1,707.1916666666666,0.0
3,301_CT_1,1,20.0,105.36724140000001
3,301_CT_2,1,20.0,105.36724140000001
3,301_CT_3,1,55.0,43.74288666
3,301_CT_4,1,55.0,43.74288666
3,302_CT_1,1,20.0,105.36724140000001
3,302_CT_2,1,20.0,105.36724140000001
3,302_CT_3,1,55.0,38.63507958
3,302_CT_4,1,55.0,38.63507958
3,307_CT_1,1,55.0,35.47476972
3,307_CT_2,1,55.0,35.47476972
3,313_CC_1,1,355.0,33.75273126
3,315_STEAM_1,1,12.0,124.0996554
3,315_STEAM_2,1,12.0,124.0996554
3,315_STEAM_3,1,12.0,124.0996554
3,315_STEAM_4,1,12.0,124.0996554
3,315_STEAM_5,1,12.0,124.0996554
3,315_CT_6,1,55.0,31.8557679
3,315_CT_7,1,55.0,31.8557679
3,315_CT_8,1,55.0,31.8557679
3,316_STEAM_1,1,155.0,27.274698980000004
3,318_CC_1,1,355.0,31.52924142
3,321_CC_1,1,355.0,33.94709226
3,322_CT_5,1,55.0,27.89469072
3,322_CT_6,1,55.0,27.89469072
3,323_CC_1,1,355.0,31.727489639999995
3,323_CC_2,1,355.0,31.727489639999995
3,322_HYDRO_1,1,43.53333333333333,0.0
